Ród Smoka odc. 4 | Omawiamy Sezon 2
🔗 https://www.youtube.com/watch?v=lGTyj0MYkS8
KMM (Krzysztof M. Maj)
GW (Grzegorz Wątroba, Okiem Deva)
TN (Tomasz Nowakowski, Ubieram Się na Czarno)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

17:  BFP - Taniec smoków już naprawdę się zaczął.
3023:  KMM - No, Harrenhal ma klimat, zauważcie, że za każdym razem jak wracamy do tego zamku, to było chyba też w trzecim sezonie i czwartym, w ogóle to są najlepsze sezony Gry o Tron, też tam byliśmy za sprawą Ari, najlepsze sceny chyba między Arią a Tyweenem, to co tam się działo, było rewelacyjne.
3038:  KMM - I teraz jak wracamy do Harrenhal, za każdym razem jest ten klimat, czuje się ten klimat Dark Fantasy.
3042:  KMM - W drugim.
3044:  KMM - W drugim sezonie, to było też w drugim, popatrz, no nie pamiętałem.
3048:  BFP - Mam nadzieję, że będzie więcej Alice Rivers, bo bardzo przemawia do mnie ta postać, natomiast rzeczywiście to fantastyczne przejście, kiedy on coś wącha i dosłownie sekundę później i widzi rzeczy.
3063:  BFP - Tak.
3065:  BFP - Widzi swoją zmarłą żonę, widzi Lejnę.
3068:  KMM - I Kasztelan patrzy na niego, tak jakby domyślam się, że w tym Akademiku była sroga impreza wcześniej.
3075:  KMM - Tomek, to jest Blackwood, czy to jest Brachan Blackwood to jest?
3079:  TN - To jest Lord Willem Blackwood, którego widzieliśmy w czwartym odcinku pierwszego sezonu.
3086:  TN - Wtedy kiedy on był tym dzieckiem, tym chłopakiem.
3090:  TN - No właśnie.
3090:  TN - I wtedy starał się o rękę Reniry.
3092:  TN - No właśnie.
3093:  GW - I widzisz, czy tu zmienili aktora, Krzysztof?
3095:  TN - Tak, tutaj zmienili, tak.
3098:  BFP - Nie, podali mu hormony wzrostu i poczekali ten rok, żeby... A dwa lata mieli, więc to jeszcze lepiej zadziałały.
3104:  BFP - Ale to przynajmniej przedstawione w scenie, nie?
3107:  BFP - Dzisiaj Rynyra by się zawahała, myślę.
3109:  BFP - To już nie byłoby takie proste, żeby odrzucić jego zaloty.
3113:  TN - I fajnie tutaj też, że ten Blackwood przychodzi do Daemona, a Daemon czegoś chce i on się stawia też troszeczkę Daemonowi, no bo jednak oczekuje od niego, że on poleci na smoku i będzie walczył z brakenami, którzy są przeciwni właśnie Blackwoodom.
3129:  KMM - Są negocjacje w każdym razie.
3131:  KMM - Damon ma ładny bullshit check w którymś momencie, jak mówi mu tok, tok, tok.
3135:  KMM - Na pewno popierasz naszą sprawę dlatego, że jesteś wierny, a nie dlatego, że masz tysiąc lat historii rodowych swad.
3142:  KMM - Absolutnie.
3143:  BFP - Szczęśliwy syzyf napisał Damon w poprzednim odcinku odmówił jedzenia, bo myślał, że zatrute, a w tym przyjął podejrzany napitek od podejrzanej osoby trochę dziwne.
3152:  BFP - Moim zdaniem nie jest dziwne.
3154:  BFP - Po pierwsze, ile ma jechać na głodzie?
3156:  BFP - A po drugie, spieszył się, strzelił focha, wyleciał na smoku ze Smoczej Skały, nie zabrał lembasów.
3161:  BFP - Na czym on ma jechać?
3162:  BFP - Na drogę nie umył?
3165:  BFP - Dokładnie.
3166:  BFP - Ciuchów nie zabrał, myślę.
3168:  TN - No i trochę już się przekonał jednak do tego, że tutaj może być bezpieczny, chociaż może rzeczywiście, jeżeli chodzi o Alice Rivers, nie do końca.
3177:  GW - Ale to w ogóle też na pewnym etapie był ten początek dyskusji, kim ty jesteś, ale typie, to ty dzwonisz, nie?
3188:  GW - On się to było takie, aha, dobra, jak wybrać z tej sytuacji z twarzą, nie?
3192:  GW - I wtedy zaczął, zauważcie, że on zaczyna w ogóle inaczej dialog od tego, że się zorientował, że on tutaj przyszedł z jego nadania, tylko nie wie, co się kurwa dzieje, nie?
3200:  BFP - Kolo przyjechał ze Skarżyska do Ustki.
3203:  BFP - 420 kilometrów, żeby się spotkać z Damonem na jego wyzwania.
3206:  BFP - Kim ty koleś jesteś?
3210:  BFP - Nazwa użytkownika pisze, co byście powiedzieli na dodatkową analizę traileru na następnego odcinka pod koniec live'a?
3217:  BFP - Nie wiem jak wy, ale ja mówię, nie, my jesteśmy dżentelmenami, maestrami, którzy operują wyłącznie na empiryce i rozmawiają o tym, co obejrzeli ponad wszelką wątpliwość, a nie zostali odprowadzeni w błąd.
3228:  KMM - A teraz pozwólcie, że przetłumaczę z Filipowego na czatowe, mianowicie nie obejrzymy dlatego, że jeżeli pojścimy w całości zwiastun, to YouTube zbanuje ten odcinek.
3236:  TN - Tak, ale pojawiają się, ale jeżeli chodzi o intro, to też pojawiają się tam nowe sceny i między innymi jest śmierć Jeherysa w tym intrze.
3247:  BFP - Przepraszam?
3249:  BFP - Idźmy dalej.
3251:  BFP - Mówisz o intrze, które się zmienia stopniowo, tak?
3253:  BFP - Tak, tak, tak.
3254:  BFP - Okej, okej, okej, rozumiem.
3257:  BFP - No intra też nie możemy oglądać, także intra też nie będziemy analizowali.
3262:  BFP - Simon Strong moim zdaniem to jest ten gościu, który próbuje jakoś ugruntować Damona i zaskakujące jak bardzo ten gościu mu rzeczywiście pomaga.
3269:  BFP - To nie jest tak, że on go wciągnął do Harrenhal, tak jak zasugerował sam Larry Strong, że Larry Strong mówi, że Harrenhal wykończy Damona.
3276:  BFP - że wyssie z niego te siły i że przekleństwo tego dworu sprawi, że Damon zacznie wariować, chociaż może Larry Strong też wie, o cholera wie, Alice Rivers, nie wiem.
3289:  BFP - Natomiast Simon Strong jest zaskakująco pomocny, jak na gościa, który po prostu oddał swój zamek, znaczy nie swój, no ale ten, który miał pod opieką i ciekawe, że wydaje się jakkolwiek być może nie oddany sprawie, ale przecież pomaga cały czas Damonowi, nie knuje przeciw niemu.
3306:  TN - Pomimo tego, że on wie, że Kristen Cole może iść już na ten zamek i też, no co prawda on chce, żeby Damon jak najszybciej działał, ponieważ jeżeli Kristen Cole rzeczywiście przyjdzie na Harren Hall, no to oni będą musieli się bronić przed nim i Simon Strong może stracić przy tym życie, więc no to jest też w jego interesie po prostu, żeby Damon coś robił.
3331:  KMM - W ogóle jestem ciekaw, czy musi być jakaś bitwa o Harrenhal, chociaż szczerze powiedziawszy, jak ja patrzę na te twierdze, które się rozpada i gnije od wewnątrz, to nie widzę w tym dobrego przyczółka obronnego.
3342:  KMM - No ale może jest to lepsze od tych śmiesznych małych zameczków nad Loaru, które są w okolicy.
3346:  KMM - Hmm.
3350:  BFP - Do Gawroni Gniazdo kilkukrotnie wspominałem, że to jest maleńka twierdza, to co będziemy oglądali w ostatnim akcie tego odcinka.
3359:  KMM - To jest taki zameczek jak w Ojcowie pod Krakowem mniej więcej.
3364:  KMM - Podprowadzisz tam jeden regiment wojskowy i oni już wywieszają białą flagę.
3368:  KMM - Teraz wszyscy historycy mnie poprawią, że zamek w Ojcowie tak naprawdę była potężna twierdza, która się opierała wiele razy.
3375:  KMM - siłą, tak jest, ja wiem.
3377:  KMM - Ale jeszcze chciałem powiedzieć, że ja się nie dziwię, że Damon jest taki napruty przy tym stole, jeżeli równocześnie rozmawia z Castellanem i ze Strongiem.
3385:  KMM - To jest ostatni dowcip nawiązujący do piwa, jaki będzie podczas tego live'a.
3389:  BFP - Egon by się dogadał z Damonem akurat, bo nawet przejście między tymi dwiema scenami, ta mina, widzicie, versus ta mina,
3396:  S05 - No po prostu, jakby oni mogliby siedzieć przy jednym stole.
3400:  BFP - Widać, że łączy ich jedna krew.
3402:  BFP - Tak, ale to jest ta scena, w której Aegon w końcu nie wytrzymuje, nie wytrzymuje i krzyczy, znajdziecie mnie i wychodzi, po czym idzie do swojej mamy.
3411:  KMM - No tak, ale przecież on jest żałosny.
3412:  KMM - To jest jakaś absolutna tragedia, co się z nim dzieje.
3417:  KMM - Dosłownie pod koniec odcinka.
3420:  KMM - Dobrze, że wreszcie Alicent pokazuje mu, gdzie jest jego miejsce.
3423:  KMM - Miałem wrażenie, że ona do końca się bała, żeby przyjąć rolę matki króla i raczej stroniła od tego, a w którymś momencie zrozumiała, że przecież to żaden król jest.
3434:  KMM - To jest tylko bachor i smarkacz, któremu się wydaje, że jest monarchą, a tak naprawdę jest królikiem.
3440:  GW - Jeszcze jedna rzecz mi właśnie tak wpadła, przekuła moją uwagę, bo to też było w kontekście i poprzedniego odcinka, jak właśnie za Aegonem podąża ta trójka przydupasów, którzy nie potrafią się zachować.
3455:  GW - I Aemond też zwrócił uwagę, że... Gwardii Królewskiej.
3460:  GW - Tak, jako gwardzistów jakichś po prostu patałachów.
3464:  GW - I to mi się właśnie zestawia z tym, jak widziałem nawet w grze o tron, czy
3470:  GW - Wcześniej jeszcze właśnie w Rodzie Smoka, gdzie oni wszyscy równiutko stali.
3477:  GW - Tak, tak, tak.
3478:  GW - Do każdej postaci królewskiej oni tam milady i tak dalej pokłoną, a tutaj po prostu wchodzą jak do siebie.
3485:  GW - Jeszcze brakuje, żeby któryś smarknął.
3486:  BFP - Nie, ale jednym skinieniem ich.
3488:  KMM - Flip pokazuje, że się zderzyli na pierśnika.
3490:  KMM - Oni się zderzają ze sobą i nie mogą wyjść.
3492:  KMM - Jak w slapstickowym filmie.
3495:  GW - Ale tu pokazują, właśnie wydaje mi się, że przez to chcą pokazać, do jakiego stopnia po prostu degrengolada już panuje tutaj na dworze.
3505:  BFP - Bardzo dobrze to ująłeś.
3506:  BFP - Przecież to już zostało pokazane nawet w poprzednim odcinku.
3510:  BFP - Jeszcze dwa odcinki temu, gdzie Otto Hightower, dziadek, próbował postawić go jakoś do pionu.
3516:  BFP - Nie, Larys.
3517:  BFP - Larys wyszedł z rozmowy z Aegonem i Aegon...
3521:  BFP - Sami, niesprowokowani ci trzej rzucili do niego, no to my dzisiaj tam młodego tutaj zabierzemy do panien w przybytku.
3531:  BFP - Idziesz z nami?
3532:  BFP - A on mówi, panowie jesteście z Gwardii Królewskiej.
3535:  BFP - I takie milczenie nagle zapada, jakby on na moment próbował gdzieś podwyższyć te standardy, których oczekuje się od Gwardii Królewskiej.
3543:  BFP - No ale rzeczywiście ten upadek obyczajów, można by rzec, następuje na dworze królewskim.
3549:  KMM - Ale on jest cały czas przecież to samo, po to co wyprawiał później Jameis z tym zakonem.
3554:  KMM - Jedyny serbalista na Selmi miał odwagę powiedzieć, że ten system nie ma sensu, pieprznąć tym i uciec w Bieszczady.
3562:  KMM - A tak to niestety cała kronika Westeros jest pełna ludzi, którzy nadwyrężają i różnego rodzaju normy obyczajowe i bez przerwy robią coś, co jest niesamowicie oburzające, po czym o tym wszyscy zapominają.
3574:  BFP - Gdzieś tam nawet zasugerowane jest w pewnym momencie, ktoś z Gwardii chyba mówi, że celibat w tej Gwardii Królewskiej jest tak przestrzegany jak w kościele katolickim.
3586:  BFP - Nie pamiętam kto to mówi dokładnie, ale gdzieś tam jest to takie bardzo umowne.
3591:  BFP - Może nie każdy sypia z królową, ale znamy przynajmniej dwóch w historii Westeros przywódców Gwardii Królewskiej, którzy sypiali z królową.
3602:  BFP - Ten drugi to oczywiście Jaime Cersei.
3605:  BFP - Chciałem pójść z tą wiedzą, bo ostatnio mi nie szło.
3608:  GW - Gratulacje.
3608:  BFP - Dziękuję bardzo, dziękuję.
3609:  BFP - Teraz się czuję lepiej, możemy jechać dalej.
3611:  BFP - Egon patrzył na ciebie z dumą przed chwilą.
3613:  TN - A Alison z lekkim zażenowaniem.
3618:  TN - Tutaj Egon tak naprawdę potrzebuje w tej scenie wsparcia swojej matki, bo ona jest dezorientowana, nikt go nie słucha, a ona przygotowała sobie wszystkie jakieś sarkastyczne, ironiczne docinki do niego.
3631:  TN - No i ja mogę powiedzieć, że ona tutaj jest
3634:  TN - chyba najgorszą matką, jaką znamy w Westeros po tej scenie, no bo zupełnie nie wspiera swojego syna i wręcz ona jest odpowiedzialna za to, co później się stało, no bo przez nią on chce udowodnić swoją wartość i zaprzeczyć temu wszystkiemu, co ona mówi, no i dlatego dosiada smoka.
3652:  TN - Tak.
3656:  KMM - Bo może dlatego, że na smoku będzie się wydawał wyższy.
3661:  GW - To już swoją drogą wydaje mi się, to oddaję ten pomysł komukolwiek, kto projektuje koszulki czy cokolwiek.
3667:  GW - Wiecie, że macie zazwyczaj na piwie jakieś takie, czy na jakimkolwiek alkoholu, piłeś nie jedź, to zróbcie logo po prostu z takim smokiem, piłeś nie leć.
3677:  GW - I po prostu to drukujcie.
3679:  GW - Macie ten pomysł za darmo, sprzeda się jak świeże bułki po tym odcinku.
3682:  TN - Albo po prostu piłeś nie prowadź.
3686:  BFP - Regisz już ostrzegał Sapkowskiego, nie lata się po pijaku.
3690:  BFP - Tak.
3691:  KMM - Tak.
3692:  KMM - Tak było.
3693:  KMM - Ale słuchajcie, cieszmy się, bo przecież teraz w następnym sezonie Wiedźmina w 2025 roku będzie Regis.
3700:  BFP - Nie wiem dlaczego tak bardzo ten kadr i ta twarz pasuje do twojego głosu, ale po prostu jakbyś to powtórzył jeszcze raz, to to jest jeden do jednego.
3707:  BFP - Po prostu to jest dokładnie to.
3709:  BFP - Cieszmy się, bo teraz będzie Regis.
3712:  KMM - Lorenz Fischberg też się będzie bardzo cieszył.
3717:  KMM - Nie, już nie będę tego kontynuował, nawet wątku.
3719:  KMM - Straumatizujemy się później, jak to przyjdzie i będzie już złe.
3724:  KMM - Bo wiemy, że będzie złe.
3725:  KMM - Zrobimy sobie taką grupową terapię.
3728:  GW - Na razie się cieszmy dobrym serialem.
3730:  GW - Tak, dokładnie.
3732:  BFP - Swoją drogą spodziewałem się troszeczkę więcej po Gwainie, Hightowerze, niż tylko i wyłącznie takiego przytakiwania.
3741:  BFP - Może nie przytakiwania, bo on kwestionuje jego plan.
3744:  TN - Ale ma mniejsze opozycje od Christiana Cole'a, no bo Christian jest namiestnikiem i w tym momencie streżnikiem Gwardii Królewskiej, więc ma mniejsze opozycje od niego.
3753:  TN - Dlatego musi go słuchać, jest dowódcą.
3755:  TN - Armin.
3756:  BFP - On wygląda jak młodszy brat Paula Bettaniego.
3760:  BFP - Paul Bettany, czyli ten, który grał między innymi Wyżona i w wielu innych fantastycznych filmach jak Piękny Umysł, ale naprawdę jakbyście mu zmienili włosy i trochę dali jaśniejsze, to to jest Paul Bettany.
3772:  BFP - Ten aktor.
3772:  BFP - Naprawdę.
3774:  BFP - Jeden do jednego.
3775:  GW - Ewentualnie krewny Tildy Swinton.
3778:  KMM - Tak.
3779:  KMM - Krzyżówka Paula Bettaniego i Tildy Swinton.
3782:  KMM - Tak naprawdę Tweedla Swinton od samego początku grała ten stół, który jest w Dragonstone.
3787:  KMM - O zobaczcie kto wrócił.
3789:  GW - Skoro potrafi zagrać dobrze ośmiornicę czy innego jamochłona, to potrafi.
3796:  BFP - Nie mówi się tak o kobietach.
3797:  BFP - Jedźmy dalej.
3798:  BFP - Rhaenyra wróciła.
3801:  BFP - Wróciła Rhaenyra razem ze swoim ziomeczkiem, który jest w jej gwardii.
3805:  BFP - Dowiedział się właśnie, że Krystyn Kościół, jego ojca,
3812:  BFP - To jest ciekawe w jaki sposób, bardzo mi się jednak podobało, że Lucerys mówi to, co myśleli wszyscy widzowie oglądając poprzedni odcinek.
3825:  BFP - Mówi,
3826:  BFP - J-series.
3827:  KMM - J-series.
3828:  BFP - Przepraszam, Lucerys umarł.
3829:  BFP - Tak, J-series.
3831:  BFP - J-series mówi... Point proven.
3833:  KMM - Point fucking proven.
3835:  BFP - Dobrze, że nie ja.
3838:  BFP - J-series mówi dokładnie to, co my myśleliśmy oglądając ostatni odcinek.
3843:  BFP - Tak.
3843:  TN - Czy to oszalałaś?
3844:  TN - To było po prostu głupie.
3846:  TN - To, co ona zrobiła.
3848:  TN - straszne, naraziła cało, wszystkich czarnych, tak, no bo gdyby ona została pojmana, no to po prostu wojna by się zakończyła i to było mega głupie.
3860:  TN - No plus właśnie Alicent, no nie ma takiego posłuchu w Małej Radzie, żeby nawet jeżeli ona coś ustaliła z nią, no to, że nagle Mała Rada posłucha Alicent i będzie pokój, tak, więc no.
3873:  TN - To było głupie.
3873:  KMM - Ja się też właśnie chcę przyłączyć do pytań, które są na czacie, a mianowicie dlaczego do ciężkiej cholery oni wysyłają tylko jednego smoga, przecież to jest krytynizm taktyczny.
3883:  TN - Nie, bo nie spodziewali się, że będzie tam jakikolwiek.
3886:  TN - Tak, nie spodziewali się, znaczy mogli się spodziewać pewnie, że jest jakiś smog, ale
3892:  TN - Zauważcie, że to mógł być też fortel polegający na tym, że jeżeli oni zaatakują właśnie na ziemi i tam poleci jakiś smok, no to oni na Smoczej Skale zostaną tylko z Sunfire, bo Caraxes jest w Harrenhal i zostaną z Vermaxem, tak?
3909:  TN - Więc gdyby na przykład Sunfire z Veigar zaatakował właśnie Smoczą Skałę, no to mogłaby ta Smocza Skała upaść.
3917:  BFP - Tak, ja też będę tego bronił, to znaczy oni mieli
3923:  BFP - Mieli ograniczone zasoby, ale mieli też dane wojskowe cały czas, jak to się ładnie mówi intelligence, cały czas... Syrax, Syrax, tak, też się pomyliłem.
3930:  BFP - Mieli informacje o tym, jak postępuje, jak postępuje ta kampania Krystona Kohla.
3935:  BFP - I ona była prowadzona w taki sposób, aby ich dezinformować.
3940:  BFP - Bo im się wydawało, że oni po prostu idą, zbierają kolejnych i kolejnych pod swoimi chorągwiami, idą na te gawronie gniazdo, a gawronie gniazdo to jest takie główienko.
3949:  BFP - No po cholerę byłoby wysyłać smoka na takie główienko?
3952:  BFP - Po co byłoby ryzykować?
3953:  BFP - No i zobaczcie.
3955:  BFP - Egon i Christian Cole są tak zaskoczeni, kiedy okazuje się, że jest jeden debil, który stwierdził, że dołączy do nich ze Smokiem i zresztą nadział się tak naprawdę na Smoka i na Rainis, ale to był fortel.
3971:  BFP - Wszystko wskazywało na to, że nie mogą mieć tam Smoka, bo wykorzystują po prostu broń konwencjonalną i konwencjonalne techniki wojenne do tego, żeby prowadzić tę kampanię.
3981:  TN - Plus to jest też troszeczkę to, o czym ja mówiłem wcześniej, czyli oni czarni na morzu i w powietrzu mają przewagę, ale jeżeli chodzi o ląd, no to oni właśnie tej przewagi nie mają.
3993:  TN - Mają zieloni większe wojsko na lądzie, a zanim północ się zbierze, czy arynowie, no to to minie, bo to jest daleko od tych zamków, które teraz zieloni atakują.
4005:  BFP - To nawet pada tutaj.
4006:  BFP - Oni mówią, ale nie mamy wojska, nie mamy jak ich zatrzymać, nie mamy jak im stawić czoła.
4010:  BFP - Musimy wysłać smoka.
4012:  BFP - I też pamiętajcie o tym, że Renira jest dość powściągliwa, jeżeli chodzi o używanie smoków.
4018:  BFP - I to jest pierwszy raz, kiedy pęka.
4020:  BFP - To jest pierwszy raz, kiedy Reynis wyraźnie na nią patrzy, wszyscy właściwie wyraźnie na nią patrzą i ona pierwszy raz decyduje się, mówi dajmy im nauczkę, wyślijmy smoka i pokażmy, że jesteśmy gotowi sięgnąć po tę broń.
4035:  TN - No bo ta królewska przystań i ta wizyta jej po prostu był takim punktem zwrotnym i ona już wie, że po prostu doszło do tej wojny i że musi stanąć po stronie tych, którzy stanęli po jej stronie.
4046:  BFP - A może też być tak, że Eymont w swoim, nie przymierzając geniuszu wojskowym i strategicznym, wiedział, że skoro oni nie zebrali ludzi pod swoimi chorągwiami, czy tam nie zebrali chorągwi pod swoją sprawę, to będą musieli użyć smoka.
4063:  BFP - Skoro będą musieli użyć smoka, no to wystarczy czekać z Vejgarem, bo Vejgar rozerwie każdego smoka.
4069:  KMM - Znaczy pytanie, co oni teraz zrobią, no bo tak czy siak stracili najcenniejszy swój asset, nie wątpię, bo to był poza smokiem Daymonda chyba największy, w razie czego nie poprawcie, no więc zostaje im Daymond, w zasadzie tylko Daymond i zostają im jakieś dwa pomniejsze smoki, no to ciężka sprawa.
4088:  TN - Znaczy na smoczej skale są jeszcze duże smoki, no chociażby Wermitor, który był pokazany w pierwszym sezonie.
4093:  KMM - Ale on ma jeźdźca, nie?
4095:  TN - właśnie nie ma jeźdźca.
4096:  TN - Jego ostatnim miejscem był Jaehaerys, król i od ponad 20 lat od jego śmierci właśnie on nie ma jeźdźca.
4103:  TN - Dlatego też Daemon wszedł do niego w pierwszym sezonie po to, żeby zobaczyć czy on jeszcze nie jest właśnie dziki, czy on nie jest oswojony i żeby przygotowywać go pod kolejnego jeźdźca.
4114:  TN - I Wermitor właśnie jest też jednym z większych smoków, można byłoby powiedzieć nawet, że po Veigar największym.
4122:  TN - A jeszcze tam oczywiście jest jeszcze kanibal, który też jest dużym smokiem, ale tak, Wermitor jest bardzo dużym smokiem.
4130:  KMM - Dlatego właśnie brakuje magów z Valyrii, którzy mogliby ten proces uprościć, tak jak to bywało ongiś.
4138:  KMM - Zawsze jest ten problem, nie ma magii, nie ma magów, to są problemy.
4142:  TN - Tutaj jest smocze nasienie.
4144:  BFP - Ejgona, któremu wyłączono internet w domu.
4148:  BFP - Nie wie co ze sobą zrobić.
4150:  BFP - Tutaj z kotem po prostu.
4153:  BFP - Tak, to było tak kocie, co się stwierdza.
4156:  BFP - A zobaczmy co się stanie.
4160:  BFP - Ach, to jest ciekawe.
4162:  GW - Ale znowu też, ja nie wiem, czy ja się za bardzo, oczywiście, że się za bardzo wczytuję w tę symbolikę, ale też na tym dzbanku tam jest, w czekarawce jest... Jest smok.
4172:  GW - ...rysuneczek smoka, nie?
4173:  KMM - Tak?
4173:  KMM - Tak.
4174:  KMM - Czyli dwa smoki są ubite, zanim smok jest ubity.
4180:  KMM - Tak, zanim dwa smoki... Fuuu!
4182:  KMM - Ziom!
4182:  KMM - Co?
4182:  KMM - Dwa w zasadzie, tak, racja.
4184:  KMM - Paralelizm!
4186:  GW - Tak, raczej wcieranie w ryj, co prawda, ale okej, no.
4191:  KMM - O kurcze, ładna jest ta scena.
4193:  KMM - Sunfire jeszcze dyszał, jak ja ostatnim razem na niego patrzyłem, więc wiecie.
4196:  GW - A to nawet tutaj widać, że oni po prostu idą się dobrze bawić, nie?
4200:  GW - Bo zauważ, że ten też taki smog jest ten uśmiechnięty i go tak trącił, to jest, tak przypomina... Jak jamnik.
4207:  GW - Tak, mojego świętej pamięci psa, który też jak chciał się bawić, to tak mnie trącał pyskiem.
4212:  GW - Natomiast jak właśnie Renis się zbierała do podróży, no to widać, że ona się wręcz tam przytulała, modliła z tym smokiem, że słuchaj dziewczyno, będzie, będzie jazda.
4225:  TN - No te obydwie sceny pokazują mega wielką więź między jeźdźcami a smokami.
4230:  TN - No i po tej scenie nawet troszeczkę szkoda było mi Aegona, no bo jednak, no pokazał się dobrze w tej scenie, tak?
4237:  TN - I no gdyby ktoś go może lepiej wychował, to to może jednak
4242:  BFP - Tak, tak pisze.
4244:  BFP - Baila zauważyła serciasteczko podczas wiadu, a przeoczyła największego smoka na świecie.
4248:  BFP - Znaczy przepraszam, ale to jest idiotyczne.
4251:  BFP - No przecież my widzimy dosłownie Ejmonda, który siedzi z Radą Królewską, więc wiadomo, że tam jeszcze nie poleciał.
4258:  BFP - Przecież minęły tygodnie, trzy, cztery tygodnie, może dwa miesiące, może trzy miesiące.
4262:  BFP - Taka kampania trwa.
4264:  BFP - Zostały zdobyte fortyfikacje, zostały zdobyte umocnienia.
4268:  BFP - A to nawet nie jest armia, ale to oddziały, które liczą 1500 piechurów, które budował Sir Christian Cole, to minęły tygodnie.
4288:  BFP - Aha, albo Cox napisał, że dwa tygodnie minęły, może gdzieś to rzeczywiście padło, natomiast no, no to nie jest tak, że on tam się zakoszarował w krzakach i czekał z tym Wejgarem przez cały, przykrył, przykrył liściami Wejgar, żeby jej nie było widać, nie?
4302:  BFP - Więc ona tam siedziała grzecznie.
4303:  GW - I tak spokojnie po prostu smok siedział, a on zasiedział w tym momencie w King's Landing.
4307:  TN - Plus Kristen Cole właśnie specjalnie też nocą chodził później na koniec, żeby właśnie go nie spostrzegli, no o tym też.
4314:  BFP - To jest przepiękna scena.
4315:  BFP - Jest tak wiele pięknych scen między Rainis a jej wierzchowcem.
4321:  BFP - Zwłaszcza ich ostatnie spojrzenia, które wymieniają.
4325:  BFP - To jest poruszające.
4326:  BFP - To jest ta scena, na której poleciało mi łzy prawie, ale przejdziemy jeszcze do tego.
4331:  KMM - Tu mamy twoją bitwę z kanału History.
4334:  BFP - Tak, tak, zbliżamy się.
4336:  BFP - To jest ta rzecz, o której rozmawiałem z Grzegorzem, a mianowicie jest świetnie, kiedy obserwujemy same smoki na tle nieba, walczące na przykład.
4346:  BFP - Jest świetnie, kiedy oglądamy jeźdźców na tle nieba, o tak jak teraz.
4350:  BFP - Ale jest gorzej, kiedy nie ma kremowego nieba i zachodzącego słońca, tylko widzimy na przykład faktycznie w tle jakieś budynki, jednocześnie nie CGI tak jak teraz, tylko widzimy też jeźdźca, czyli aktora.
4362:  BFP - No to wtedy to się trochę zaczyna...
4364:  GW - No bo właśnie to jest to, że w momencie kiedy masz tylko i wyłącznie CGI bez twarzy aktora i nie musisz go pokazywać, wtedy możesz sobie z tej sceny zmontować co ci się żywnie podoba.
4378:  GW - W momencie kiedy musisz tak naprawdę postać aktora wkleić w greenscreen i dokleić do tego całą resztę,
4384:  GW - no to jeżeli nie masz dobrych warunków, albo nie masz czasu, albo nie ma budżetu na to, żeby dobrze czyścić tą scenę i ją dobrze spajać razem, to będziesz miał ten dysonans taki, obserwując to, że w tle teoretycznie masz jakąś realistyczną
4404:  GW - scenerię, a tutaj masz po prostu kołysanie jeszcze kamery na smoku plus właśnie do tego twarz aktora, która no gra cały czas, próbuje grać to, że ktoś zapieprza ileś dziesiąt metrów nad ziemią.
4418:  GW - Także siłą rzeczy to wymaga dużo czasu, żeby to dobrze wyczyścić.
4426:  GW - Tutaj nie dostarczyli powiedzmy tego poziomu, który potrafią osiągnąć po prostu w innych scenach, ale faktem jest, że po prostu trudniej dostarczyć.
4435:  BFP - Ale już bez jeźdźców, kiedy nie widzimy tak naprawdę jeźdźców, bo oni schodzą na dalszy plan, a widzimy smoki, które walczą, o to znakomicie wyglądało.
4443:  GW - No i świetnie pokazują skalę, tak jak już mówiłem wcześniej.
4446:  GW - Tutaj świetnie pokazują skalę tego, że w momencie, kiedy smok pada, no to tak, kiedy jest draśnięty i z niego tam wycieka krew i smoła, to to topi po prostu ludzi, a w momencie, kiedy pacnie o ziemię, to tak naprawdę, tak jakby faktycznie bomba spadła.
4464:  BFP - Ja tylko zwrócę uwagę na dwie rzeczy.
4466:  BFP - Pierwsza to podziwiam tego jednego dzielnego piechura, który należy do rodu Baranka Bożego, który myśli bitch I'm fabulous na tym bannerze, który tutaj jest.
4478:  BFP - Ale jeszcze bardziej to jest właśnie to, co miałem na myśli, kiedy mówiłem o History Channel.
4483:  BFP - Puszczę kawałek.
4484:  BFP - No tak trochę to dla mnie wygląda, szczerze mówiąc, jak takie przebitki z History Channel.
4488:  KMM - Ja nie chcę mi nic mówić Filip, ale jeżeli nie zmienisz buildu, tak też będą wyglądały twoje walki w dodatku do Elden Ringa.
4495:  BFP - O przepraszam, jakbyś zobaczył mój wczorajszy stream, to robię taki piękny progres, rozwijam się jak na sterydach ten aktor, który nie został zmieniony, tylko szybko dojrzał przez dwa ostatnie lata.
4508:  TN - Proszę.
4509:  TN - Ja chciałbym się troszeczkę odnieść do tego, co mówił Grzegorz, że trzeba mieć czas na to, żeby wyczyścić te kadry.
4515:  TN - No my w pierwszym sezonie Rodu Smoka z Filipem mieliśmy właśnie screenery.
4521:  TN - I po prostu oni jeszcze czasami przed tymi samymi odcinkami jeszcze je montują, więc my nawet przed, jak już leciał sezon, to my jeszcze mieliśmy niewyrenderowane smoki, więc oni tego czasu właśnie na wyczyszczenie tych kadrów nie mają.
4536:  TN - To się crunch nazywa.
4538:  TN - Tak, tak, trochę tak.
