Jak wyrażać EMOCJE nie raniąc innych? Małgorzata Majewska i @KrzysztofMMaj | 54
🔗 https://www.youtube.com/watch?v=ALkJDuJKjtQ
KMM (Krzysztof M. Maj)
MM (Małgorzata Majewska)

0:  MM - Język ci bardzo wyraźnie pokazuje jedno.
2638:  MM - On mówi, wie pani co, waham się, czy przyjść, czy wziąć swojego raka, czy tym razem go zostawić w domu, nie?
2643:  MM - I wiesz, i moja była taka, to było lata temu, ja byłam wtedy bardzo młodą dziewczyną i ja wtedy myślałam, że takie obśmiewanie, bardzo często swoją drogą osoby ciało pozytywne tak się obśmiewają, nie?
2652:  MM - Ja mówię, jak było na plaży?
2653:  MM - No wiesz, byli ludzie i wieloryb, czyli ja.
2656:  MM - To jest takie, to jest taki pozór, wiesz, że my też możemy.
2661:  MM - Ja pisałam doktora o tym, jak się umniejszamy.
2664:  MM - I moja teza jest taka, że w momencie, kiedy ktoś przychodzi i śmieje się właśnie z jakiegoś dramatu swojego, bo dla mnie to też jest dramatem, czy właśnie nowotworu, czy jakiejś innej rzeczy, to tam jest taki właśnie lęk przed tym, że jeżeli ja do ciebie to obśmieję i ty później mi upokorzysz, to ja będę udawała, że to dla mnie spoko.
2683:  MM - Ale nie wierzę, bo wiesz, ironia zakłada dystans.
2687:  MM - No ciężko być zdystansowanym do tego, że się umiera.
2690:  MM - Ja rozumiem, że pan Władek, który żartował do mnie, przez chwilę chciał poczuć się w lekkim.
2695:  MM - I ja mogę w jego grę zagrać.
2696:  MM - Ja mówię, a wie pan co, to może tym razem niech pan jednak weźmie.
2699:  MM - Albo dobra, to może miejmy tajemnicę przed pana rakiem.
2702:  MM - Ale tylko wtedy, kiedy on w tym momencie mi skonstruuje scenę, na której ten rak jest osobny, ja się pod nią podpinam.
2711:  MM - Ale może tak być, że ta ironia można złączyć, bo później z tym panem było tak, że ja mówię, dobra, to proszę jeszcze pozdrowić swojego raka, dzięki, bo się pytał o panią.
2718:  MM - Czyli myśmy sobie grali w tą grę, ale to on wyznacza reguły.
2722:  MM - Natomiast ironia jest wtedy okrutna, kiedy po pierwsze to wiesz, kiedy ja cię nie pytam o zgodę, czy chcesz w tej grze uczestniczyć.
2731:  MM - Bo w wielu domach na przykład tak jest między rodzeństwem, że ta ironia jest taką formą bardzo zawaluowanej bliskości.
2740:  MM - Że wiesz, na przykład rodzeństwo się między sobą wyśmiewa.
2743:  MM - Bardzo często jest tak, na przykład ja dam taki przykład rodziny, gdzie jest trzech chłopaków dorastających i kiedy jeden z tych chłopaków miał dziewczynę, no to on nie miał życia w domu.
2751:  MM - I on właściwie ze mną do mnie dzwonił, mówił, ciociu mogę z tobą pogadać, bo w domu nie mogę się mamie i tacie przyznać, bo tam Zosia nie będzie miała życia.
2760:  MM - I ja sobie pomyślałam, okej, czyli w tym domu jest taki bardzo dziwny pakt lojalności, że wiesz, budujemy bliskość przez szyderę.
2769:  MM - No to dobra, ale gdzie on w takim razie ma pomieścić to trudne?
2772:  MM - Nie?
2773:  MM - No.
2774:  KMM - A powiedz mi, wyciągnę jeszcze ten wątek, który mieliśmy wcześniej, tego skalowania tych wszystkich problemów interpersonalnych, o których mówimy, do poziomu państwowego, politycznego, społecznego, w postaci tego montowania machiny wojennej w języku.
2790:  KMM - Bo myślę, że to jest dość duży problem, zwłaszcza jak zastanowimy się nad tym, jak są ujmowane kwestie migracji, rasy, seksualności, ale właśnie w perspektywie globalnej.
2799:  KMM - Czy ta słynna sprawa, którą ja zawsze testuję ze studentami,
2803:  KMM - jak wchodzi temat woke culture i ja wtedy im mówię, a zamieńcie woke na gender i nic się nie zmieni, bo potrzebujecie wroga.
2811:  KMM - W tym zdaniu, w którym mówicie, że woke niszczy wszystko, tak?
2814:  KMM - Nawet nie zastanawiając się nad tym, co to znaczy.
2816:  KMM - I potem mówię, a teraz podmięcie gender na Żydzi.
2820:  KMM - A teraz podmięcie to na Immanuel Goldstein z 1984.
2824:  KMM - A teraz podmięcie to na obcy i ksenomorfy.
2827:  KMM - I to wszystko jest to samo.
2829:  KMM - I to zdanie nie zmienia swojego znaczenia.
2832:  MM - żebyśmy mogli politycznie być bezpieczni, musimy zrozumieć, że nie ma jednej narracji.
2837:  MM - Dopóki, wiesz, bo tam wspominałeś o faszyzmie, każda ideologia zawłaszcza nas do swojej narracji.
2844:  MM - I to jest ta iluzja, ja się z nią, wiesz, cały czas mi się wydaje, że to jest takie oczywiste, że Wittgenstein miał rację, że języka są granicami mojego świata, a nagle cały czas ludzie się pytają, dobra, ale jaka jest prawda?
2855:  MM - A ja mówię, wiesz, prawda to jest, kto tu stoi, ale w momencie, kiedy ja ci powiem, szklanka stoi na stole, to ja już tą prawdę przepuszczam przez swój filtr.
2864:  MM - Bo ja ci teraz mogę powiedzieć, szklanka stoi blisko, a ty możesz powiedzieć, dobra, z twojej perspektywy.
2869:  MM - I teraz, kiedy mamy taką zgodę na taką wielonarracyjność, to znaczy, kiedy są wybory i ja nagle ze studentami analizujemy, wiesz, język wyborczy pod takim kątem, że na przykład dla konfederatów
2884:  MM - bo ja to widzę tak, każdy z nas ma te same wartości, plus minus.
2887:  MM - Każdy potrzebuje się czuć bezpiecznie, każdy potrzebuje przynależeć, każdy potrzebuje mieć wspólnotę, w której jest soldarność, lojalność.
2895:  MM - Tam siedem, chyba, albo osiem tych wartości wyszło.
2897:  MM - Tylko za każdym razem inaczej potrzebujemy być kreatywni, wolni, teraz już wspomniałam jeszcze.
2904:  MM - Tylko to wypełnienie, wiesz, każdy ma inne.
2906:  MM - I kiedy teraz ja wiem, że ty i ja mamy te same wartości, ale ja mam narzędzia do tego, żeby wysłyszeć, jak ty definiujesz wolność.
2914:  MM - I czy my się spotykamy i wtedy sobie myślę, okej, to ty masz inaczej, to wtedy mamy zgodę na to, że ja się przysługuję twojej narracji z takiego miejsca ciekawości.
2926:  MM - Natomiast w momencie, kiedy my mamy iluzję, że to wszystko jest szukaniem tej mitycznej prawdy, która ma być jedna objawiona, to nagle władza nad nami ma ta narracja, która jest bardzo spójna.
2941:  MM - Dla mnie, powiem ci szczerze, przerażające było to, nie wiem na ile mogę tu ujawnić swoje poglądy polityczne, ale wystąpienie ostatnio pani Kariny Bosak a propos aborcji.
2952:  MM - Ono było tak kosmicznie dobrze zrobione.
2955:  MM - Ona wzięła hasło ze strajków kobiet, prawda?
2959:  MM - Moje ciało, mój wybór.
2960:  MM - Odwróciła jego sens i semantycznie wypełniła wolność swoimi poglądami.
2967:  MM - I teraz wiesz, pani Karina Bosak ma prawo mówić, co uważa.
2970:  MM - Ale jeżeli pytasz, jak zrobić, żeby politycznie, wiesz...
2974:  MM - żebyśmy to my mieli sprawczość nad tym, na kogo głosujemy, to należy to wystąpienie rozebrać na części pierwszej i pokazać, jak ono jest skonstruowane.
2983:  MM - Prawda?
2983:  MM - Mało tego, zrobić jeszcze takie ćwiczenie, że zróbmy w takim razie według tej samej struktury i konstrukcji przemówienie przeciwne, które jest za aborcją.
2991:  MM - I nagle wiesz, kiedy ludzie widzą, że ta struktura jest w sumie taka sama,
2996:  MM - Tylko kwestia tego, jakie detale wybierzemy, żeby ci wypełnić wolność, na przykład potrzebę wolności czy kreatywności, wiesz, to wtedy nagle się robi tak lekko, że to jest wszystko kwestia narracji.
3009:  MM - Ja mam taki cudowny przykład, bardzo osobisty, bardzo bliska mi osoba, to jest starsza pani,
3014:  MM - Bardzo dużo pali.
3014:  MM - To jest osoba publiczna, więc oczywiście nie wymiany nazwiska.
3017:  MM - Bardzo dużo pali.
3019:  MM - I trafiła ze względu na stan zdrowia do naszego lekarza, który jest panem, profesorem kardiologii bardzo uznanym, który jej powiedział, pani profesor, ja będę panią leczył pod warunkiem, że pani przestanie palić.
3030:  MM - I ta pani do mnie zadzwoniła i mówi, komuniści mi nie zabrali wolności, komunowały też nie.
3035:  MM - I dalej pali.
3036:  MM - I teraz, kiedy słyszysz w języku, że ta osoba ma w szufladce wolności palenie,
3042:  MM - to wiesz, że żadne argumenty z domeny zdrowia nie trafią.
3048:  MM - Dlatego, że dla tej pani detalem wolności jest to, że ona pali, po prostu.
3054:  MM - I teraz wiesz, dla mnie jak ja poznaję nowych ludzi, to dla mnie pierwsze pytanie, które sobie zawsze zadaję, jak oni wypełniają te wartości?
3061:  MM - Po czym ktoś poczuje, że przynależy, nie przynależy?
3066:  MM - Wiesz, i teraz kiedy ja widzę na przykład, że dla kogoś, wiesz, no to jest bardzo ciekawe, nawet ostatnio jakiś reportaż czytałam w Polskiej Szkole Reportażu, ktoś pisał, wiesz, o jakiejś grupie przestępczej i tam, wiesz, no bardzo prosto definiowana jest wspólnota, no tam wspólnota polega na tym, żeby się nie roz... na psach.
3083:  MM - I to jest zupełnie inna definicja lojalności i solidarności niż na przykład moja, kiedy idę w strajku kobiet.
3092:  MM - I moja, kiedy na przykład działam lokalnie jakoś albo nie działam.
3098:  MM - Cały czas chodzi o to, że jeżeli ja widzę, że my wszyscy chcemy tego samego, chcemy wspólnoty, w której czujemy się widziani i słyszani, tacy jacy jesteśmy.
3107:  MM - I teraz wiesz, kiedy ja wiem, że mam taką potrzebę i nagle słyszę taką narrację, która mówi, wow, ona jest moja, to ja już wiem, że to jest coś, co mnie uwodzi.
3117:  MM - Że to jest prawdopodobnie jakaś ideologia, która jest potwornie spójna.
3121:  KMM - Tak, jeszcze Umberto Eco w sześciu przechadzkach o lesie fikcji też mówił o tym, że teorie spiskowe są najbardziej spójnymi teoriami, jakie istnieją.
3130:  KMM - Bo właśnie o to w nim chodzi.
3131:  KMM - One są idealne.
3132:  KMM - Bo są idealne.
3132:  KMM - Tam nie ma luk, nie?
3133:  KMM - Tak, tak.
3134:  MM - No a z kolei wiesz, teraz no mam Harari, którego ja swoją drogą bardzo cenię, chociaż wiem, że są kontrowersje, ale w którymś z wywiadów powiedział, że wojny nie są wojnami o terytorium, bo tego terytorium na świecie jest mnóstwo.
3145:  MM - Wojny są o prawo do zarządzania narracją.
3149:  MM - Wiesz, to się można śmiać, nie śmiać, natomiast jak się temu przypatrzysz, no ja teraz bardzo czekam na książkę Magdy Grzebałkowskiej o Marii Konopnickiej.
3160:  MM - Nie dlatego, że oczywiście prywatnie temat mnie interesuje i samą autorkę cenię, ale też myślę, że Magda to trochę zrobi herstorycznie.
3167:  MM - To znaczy, że nie będzie książka manifest feministyczny, ale jak tak prywatnie znam Magdę, to myślę, że tam będzie zauważenie czy przefiltrowanie tego życiorysu też przez to, że na przykład historia kobiet w XIX wieku była niezauważana.
3182:  MM - Szczególnie kobiety, która porzuca ósemkę dzieci dla związku homoseksualnego.
3186:  MM - I teraz wiesz, to nie chodzi o to, że ta książka będzie jedyną prawdą.
3191:  MM - Tylko, że tą książkę gdyby napisał Tomasz Terlikowski na podstawie tych samych dokumentów, również mogłaby być prawdą, tylko przefiltrowaną przez to, że ten pan prawdopodobnie, wiesz, inne elementy dla niego byłoby w biografii akurat tej osoby wypełnieniem wolności.
3209:  KMM - Znaczy samo pojęcie, którego użyłaś, herstoria jest bardzo często rozumiane jako coś, co ma zabrać nam historię i zastąpić ją herstorią, gdy tymczasem to chodzi o coś innego, naświetlenie czegoś, co było niedoświetlone.
3223:  KMM - I no nie mogę nie nawiązać do tego, bo akurat dzisiaj są matury rozszerzone z polskiego, jak nagrywamy.
3230:  KMM - że chyba jednak tutaj też... Czuję empatię dla wszystkich, którzy piszą.
3234:  KMM - No bo wiesz, bo to jest taki ostatni moment, kiedy wszyscy Polacy piszą tekst.
3238:  KMM - Wszyscy, znaczy wszyscy, bo ktoś może przestać później pisać teksty.
3241:  KMM - I wszyscy się uczymy, że jest jedna narracja, ta, która się spodoba egzaminatorowi, ona nigdy nie jest, zobacz, ona nigdy nie jest krytyczna.
3247:  KMM - To nigdy nie jest tak, żeby udowodnić, że jakiś antybohater postępuje źle i pokazać jego motywację.
3253:  KMM - Nie, absolutnie.
3254:  KMM - My mamy powiedzieć, jak wszystko jest pięknie, jak jest fantastycznie, jak jest ładnie i nawiązać do oczywiście
3260:  KMM - czegokolwiek, co chcemy, pod warunkiem, że będzie to lektura obowiązkowa.
3263:  MM - Tak, a później Marcin Napiórkowski oblewa swój własny tekst, gdyby go pisał na maturze.
3268:  MM - Wiesz, to jest jakiś absurd, te matury.
3270:  MM - Ja naprawdę już żartuję do studentów, że powinni napisać i studentek, i osób studenckich, żebyśmy byli poprawni.
3277:  MM - Powinny pisać zbiorowy protest, że polska szkoła to jest przemoc.
3280:  MM - Dlatego, że jak powiedziałeś, że przestają pisać, przestają pisać dlatego, że przychodzą do mnie na zajęcia i mają przekonanie, że jest coś takiego jak jeden dobry, obowiązujący styl.
3290:  MM - I na kreatywnym pisaniu pół zajęć mi zajmuje to, żeby ich przekonać, że każde kombinowanie, że kreatywność jest ważniejsza.
3298:  MM - Bo polska szkoła zabiera ci kreatywność.
3300:  MM - Polska szkoła ci mówi, że w momencie, kiedy jesteś kreatywny, to dostajesz karę.
3305:  MM - Polska szkoła przede wszystkim szykanuje ryzyko.
3310:  MM - Bo ci mówi, że, wiesz, to mnie bardzo ciekawi, w ogóle jak się tak przysłuchuje językowi, który mamy do ludzi, do dzieciaków, że właściwie mało kto powie, fajnie, że ci się nie udało, ale fajnie, że spróbowałeś.
3324:  MM - Tylko najczęściej lecimy z radą, nie?
3327:  MM - Jakbyś chciał na drugi raz robić to i to, ja miałam takie sytuacje ostatnio, że miałam gości u mnie w domu dosyć młodych i była maszynka do robienia makaronu.
3334:  MM - I ci młodzi ludzie wzięli, wiesz, mąkę ziemniaczaną, tak?
3337:  MM - Oczywiście to nie mogło wyjść, wiemy.
3339:  MM - I teraz taki, wiesz, kawałek mój, takiej doświadczonej osoby, która tyle lat robiła makaron, miał mi powiedzieć, tylko mąka pszenna, bo to gluten z klejami.
3347:  MM - Później sobie pomyślałam, kurczę, i mówię do nich, wiecie co, fajnie, że w ogóle wam się chciało kombinować, no dobra, no nie wyszło, no i tyle, nie?
3353:  MM - Coś się stało, Boże, no kilo mąki poszło i tyle, nie?
3358:  MM - Wiesz, natomiast chodzi mi o to, że też, bo wiesz, jak już jesteśmy przy polskiej szkole, to ja bym się przytrzymała przy narracji rady.
3365:  MM - Że zwróć uwagę, że bardzo często jest tak, że kiedy coś nam nie wychodzi, to dla bardzo wielu ludzi formą miłości i troski jest poradzenie nam, jak powinniśmy zrobić.
3375:  MM - I tak naprawdę to nas uczy tego, żeby nie kombinować.
3379:  KMM - To jest zaprzeczenie procesu tutorskiego, w którym ma eksperymentować tutorant.
3384:  MM - Nawet słowo kombinować, zobacz, już ma negatywne konotacje.
3388:  MM - A weź nie kombinuj, tylko zrób jak trzeba.
3390:  MM - Albo po co kombinujesz?
3393:  MM - No to jak z tego ma później wyrosnąć kreatywny człowiek?
3396:  MM - Jak ma wyrosnąć człowiek, który nie boi się poszaleć w tekście?
3401:  MM - Jak to się dzieje, że ja, wiesz, największą walkę, którą starczam na kreatywnym pisaniu, to jest to, że jak oni piszą dialogi, to żeby tam nie było podmiotu orzeczenia i dopełnienia, bo ludzie tak nie mówią.
3410:  MM - Ja mówię, słuchajcie, macie teraz głosówki, które tak służą cudownie pisaniu, spiszcie sobie taką głosówkę i zobaczcie.
3416:  MM - Mało kto buduje pełne zdania.
3417:  MM - Pełne zdania są tylko w podręcznikach i w nowelach telebrazyryjskich.
3422:  MM - No nikt nie mówi, o kuzynie przyszedłeś, to może napijemy się kawę, bo właśnie robię kawę.
3426:  MM - Kuzynko, skoro robisz kawę, to chętnie napiłbym się kawę.
3429:  MM - To ja teraz wstanę i zrobię ci kawę.
3431:  MM - no nie, ja przydałem kawy, a na maturze ci powiedzą, nie ma takiej konstrukcji.
3438:  MM - Tutaj dam wam świetny przykład, bo teraz analizujemy na stylistyce takie konstrukcje, uwaga, no nie, nie no, no i, no, no właśnie.
3448:  MM - I teraz zobacz, polska gramatyka w ogóle nie zauważa tych konstrukcji.
3452:  MM - A teraz jak mówisz no, to mi przyznałeś rację.
3457:  MM - A wyobraź sobie w prywatnej sytuacji, że ktoś by cię zapytał, kochasz mnie?
3459:  MM - A ty powiesz no.
3461:  MM - Będzie lekceważeniem.
3464:  MM - I teraz nie, nie chcę, żebyś mi to potwierdził.
3466:  MM - Nie też polska szkoła nie zauważa.
3469:  MM - Czyli te takie słówka, które my gramatycy nazywamy modulantami, one są podstawą naszej komunikacji.
3477:  MM - Jak ktoś się czuje niepewnie, to używa manieryzmu typu strasznie albo jakby.
3483:  MM - Wiesz, a co ci powie polonistka?
3485:  MM - Tak się nie mówi.
3486:  MM - Nie wiem, ile razy wy usłyszeliście zdanie, nie zaczyna się od więc.
3490:  KMM - Och tak, bardzo wiele.
3490:  MM - Prawda?
3491:  MM - I to jest takie moje PTSD z podstawówki.
3494:  MM - Prawda?
3494:  MM - Nie zaczyna się zdanie od więc.
3496:  MM - Okej, jak piszę tekst, to nie zaczynam zdanie od więc.
3498:  MM - Ale jak rozmawiam z ludźmi, to każdy zaczyna.
3501:  KMM - Tak, to samo z zaczynaniem zdania od ja, co wcale nie musi oznaczać, że ktoś jest narcystycznym egomanem, tylko że właśnie podkreśla swoje stanowisko i chce używać tego komunikatu.
3511:  MM - Tak, bo ja może być na zasadzie ale, a ja myślę, że.
3515:  MM - Natomiast jeżeli na przykład ktoś przychodzi rano i mówi, ej, bo ja ci zrobiłem kawę, to ten zajemek osobowy, który tam rzeczywiście logicznie jest zbędny, bo wystarczyłby nam czasownik zrobiłem, musi mieć dodatkową funkcję.
3529:  MM - Tam może być chęć tego, to chociaż mi ty zrób kanapki, może być pretensja, to ja ci kawę robię, tam może być milion rzeczy.
3537:  MM - Wiesz, moim jeszcze kolejnym ulubionym przykładem, ja jestem po polonistyce, zrobiłam doktorat na polonistyce na Uniwersytecie Jagiellońskim i tam mnie do doktoratu uczono, że pytania służą zdobywaniu informacji.
3549:  MM - Powiedz mi, jaką informacją jest, jak ktoś wraca do domu i ktoś pyta, o której to się wraca?
3554:  MM - Prawda?
3555:  MM - No przecież spróbuj odpowiedzieć o 21.30.
3559:  MM - Bezczelny.
3559:  MM - Nie dość, że miał być o 8, to jeszcze udaje greka.
3563:  MM - Wiesz, ja jak słucham pytań, to w takim codziennym życiu one najczęściej mają funkcję pretensji.
3569:  MM - Albo pokazania komuś, że nie myśli.
3572:  MM - No bo na przykład w takim zdaniu, ej, ale powiedz mi, co myślałaś, jak parkowałaś w ten sposób?
3577:  MM - Tam nie ma miejsca ciekawości, co myślałam, tylko tam jest chęć powiedzenia mi, jak parkujesz kopertą, to używaj bocznego lusterka.
3584:  MM - To ta sama osoba od samochodu.
3587:  MM - I teraz zobacz, w momencie, kiedy ja będę próbowała się trzymać... O, jak pytasz, o co robi polska szkoła.
3592:  MM - Jakbym chciała słuchać polskiej szkoły i założyłaby, że to jest pytanie o informację, to ja się z kimś pokłócę.
3600:  MM - Bo jeżeli ktoś mnie pyta, o której to się wraca, a ja mówię, no nie wiem, pierwsza trzydzieści, to w ogóle nie jest w tym pytaniu o to chodzi.
3610:  MM - Albo jak mnie zapytasz, czy mogłabyś mi zrobić kawę, a ja ci powiem, mogłabym i dalej siedzę.
3617:  MM - To też nie o to chodziło.
3620:  MM - Czyli tak naprawdę polska szkoła robi to, że nie dość, że to, co nas uczy z gramatyki jest nieprawdą a propos codziennego języka, zwłaszcza, że najczęściej przykłady jeszcze są z tego nieszczęsnego Sienkiewicza czy Prusa, czyli z XIX wieku, to jeszcze polska szkoła ci mówi to, co ci intuicja podpowiada, to nie jest to.
3639:  MM - No bo na pytanie, o której to się wraca, wydaje się, że jest pytaniem o informacji.
3644:  MM - Prawda?
3645:  KMM - Ja już mam jeden wniosek z naszej rozmowy, bo pokazują mi, że wyczerpujemy jakieś minuty czasowe.
3654:  MM - Ja bym jeszcze pogadał, ale oni, ci oni, tamci oni.
3659:  KMM - Ja mam jeden wniosek z naszej rozmowy, że jeżeli ktoś chce wolności takiej prawdziwej, to także w wymiarze politycznym, to niech zacznie od języka.
3665:  KMM - To jest mój wniosek z rozmowy.
3667:  KMM - Jaki jest twój wniosek, z którym byś chciała zostawić ludzi?
3669:  MM - No właśnie chyba to, wiesz, że jak... Mogę zareklamować swoją książkę.
3673:  MM - Ja pisałam książkę Mówię, więc jestem.
3675:  MM - Ona już jest od roku na rynku.
3678:  MM - To ta książka jest o tym, że jeżeli chcesz się czuć wolny w relacji, to musisz rozumieć, co się w tej relacji wydarza.
3683:  MM - Po prostu.
3686:  MM - A to, co się wydarza, słyszysz w gramatyce.
3690:  MM - I wiesz, jeżeli ja słyszę, że ktoś mi daje rady, to ja słyszę, że jemu jest trudno ze mną być tutaj.
3696:  MM - I jeżeli to jest osoba, która jest w ogóle bardzo trudna ze mną, to jest przykład konkretny, mam taką panią, a propos mojej tej kolejnej książki o uzależnieniach, współuzależnioną, bardzo taką panią z Podlasia, która nie używa feminatywów i która mi daje pięć tysięcy rad, co mam zrobić z plamą na spodniach, to ja sobie myślę, ok, jeżeli ona się przez to lepiej poczuje, to ja ją dopytam o tą radę dla spodniach i nie będę przy niej używać feminatywów, właśnie dla jej komfortu.
3724:  MM - Więc ja bym powiedziała, że właśnie tak jak powiedziałeś, wolność jest wtedy, kiedy to my przejmujemy władzę.
3730:  MM - Teraz tak trochę was postraszę.
3732:  MM - Natomiast jeżeli my nie wiemy, jak działa język, to ten język ma nad nami władzę.
3736:  MM - I wtedy nie tylko politycy będą mieli, ale też w prywatnej relacji będziemy mieli coś, co Hanna Kral nazywa sublokatorstwem, czyli taką przemoc symboliczną, że my nagle robimy się tacy malutcy,
3747:  MM - Nie wiedząc dlaczego.
3749:  MM - Akurat Pani Hanna Krell pisała o sublokatorstwie związanym z mieszkaniem w czyimś mieszkaniu, ale ja jak przeczytałam tą definicję, to sobie zrozumiałam, że ja jestem sublokatorką, nie wiem, w Urzędzie Skarbowym.
3759:  MM - Bo ja jestem tak miła dla tej Pani, bo ja się boję, że ta Pani, wiesz, nie przyjmie mi czegoś tam, no teraz to już się internetem, ale jak jeszcze się chodziło, bo nie wiem, pieczątka jest źle.
3769:  MM - I teraz nie wiem jak wy, ja mam taki wdrukowany lęk, taki kawkowski przed urzędami, że ja jestem totalnie sublokatorką.
3775:  MM - Ja zrobię wszystko, żeby ta pani powiedziała, jest okej.
3779:  MM - Natomiast w momencie, kiedy ja mam już kategorię sublokatorstwa i widzę, jak ona w języku działa, czyli kiedy ja się robię za miła, to ja słyszę swój własny język jako lęk.
3790:  MM - i sobie myślę, okej, boisz się tej pani, bo nie ufasz sobie, że to pismo jest dobrze zrobione, to ja mogę decydować, czy działam z miejsca lęku, czy na przykład jeszcze poproszę kogoś, żeby mi sprawdził pismo, żebym sobie dała poczucie sprawczości.
3803:  KMM - Hołk.
3804:  KMM - Była z nami Małgorzata Majewska, z którą można byłoby rozmawiać jeszcze bardzo, bardzo długo i prawdopodobnie jedyna osoba, z którą byłem w stanie rozmawiać tak długo przed godziną dwunastą.
3814:  KMM - Bardzo ci serdecznie dziękuję za dzisiejszy występ Bunkrze Nauki i dziękuję wam, że nas wysłuchaliście.
3820:  MM - Dziękuję Wam bardzo.
