Jak komunikować się bez HEJTU? Paulina Mikuła @mowiacinaczej  i @KrzysztofMMaj | 55
2884:  PM - Ja na przykład ostatnio miałam spotkanie w zespole szkół i po raz pierwszy miałam taką sytuację, że uczniowie nie reagowali na to, co ja mówię, wrzucały mi takie wędki.
2896:  PM - Może byłam zbyt intensywna już w pewnym momencie, ale odpuściłam.
2900:  PM - Szukałam kodu kulturowego, językowego, wspólnego, czyli pytałam o piosenkarzy, filmy, seriale, jakich youtuberów oglądają i oni mi nie odpowiadali.
2911:  PM - Zaczęłam mówić o tańcu, bo to akurat było w mieście, w którym ja chodzę na skłosze i właśnie w tym miejscu są też zajęcia taneczne.
2919:  PM - Jakoś tak starałam się przekonać ich, żeby czasami odłożyli te telefony i sobie potańczyli, bo się tak trudno tańczy z telefonem, a tańc jest super.
2927:  PM - I zapytałam, czy ktoś z nich tańczy.
2929:  PM - Nikt nie podniósł ręki.
2930:  PM - A po wszystkim nauczycielki do mnie podeszły i powiedziały, pani Paulina, proszę się nie przejmować, oni są po prostu tacy dzicy, ale tutaj są kluby taneczne.
2938:  PM - No i jak to nie przejmować?
2939:  PM - Ja sobie pomyślałam, jak oni się wstydzą.
2943:  PM - Jak oni się wstydzą.
2944:  PM - I potem co?
2945:  PM - Kończą sobie te szkoły.
2946:  PM - Tacy zawstydzeni, tacy nieobyci, tacy przestraszeni też sami siebie.
2951:  KMM - Nie no i bierzmy rozmowę kwalifikacyjną.
2954:  KMM - Masz wprutę na maturce, że Kochanowski i Mickiewicz, a na rozmowie kwalifikacyjnej jest no ja no i to jest straszne i my krzywdzimy ludzi w ten sposób, bo to
2967:  KMM - Cały czas, jak zawsze mówię wszystkim, że jeżeli ktoś mówi przed kamerą, jeżeli jest wykładowcą, jeżeli jest prezenterem i on się jąka, jeżeli duka, on nie powinien tego robić.
2976:  KMM - I ludzie zawsze strasznie na mnie denerwują, że stygmatyzujesz mnie.
2979:  KMM - Nie stygmatyzuję, ponieważ 99% przypadków to jest do wyćwiczenia i to jest efekt tego, że ktoś ma niesamowitą tremę, boi się mówić do kamery, a czasem nie tylko do kamery, ale po prostu boi się mówić przed ludźmi.
2991:  KMM - bo zostanie oceniony w ten czy inny sposób.
2994:  KMM - To, co powiedziałaś, to jest 100% doświadczenia, które ja sobie zbieram sukcesywnie rok do roku, niezależnie od tego, jaki mam audytorium, zawsze jest ten etap początkowy i to zwykle są jedne zajęcia, dwa zajęcia, albo jedno spotkanie i tak dalej.
3007:  KMM - I ludzie siedzą cicho, markotni, przerażeni, nawet na konwentach to się zdarza, że siedzą cicho i dopiero potem się ktoś odważy, ta pierwsza osoba, która przełamuje te lody i zadaje pytanie.
3017:  PM - Pierwsza zawsze, tak, musi się pojawić.
3019:  KMM - I to wydaje mi się, że jest właśnie strach przed tym wypowiedzeniem się i przed tym, że będzie oceniana jakość twojej wypowiedzi.
3026:  PM - Tak, a ja pamiętam, że kiedyś byłam na spektaklu na Nasza Klasa Słobodzianka.
3033:  PM - To był też spektakl i to był taki spektakl i to był jeden z pierwszych, na którym się pojawiłam, że ja za nie mówiłam, a potem było spotkanie z aktorami.
3041:  PM - No i pytania teraz.
3044:  PM - Nic.
3044:  PM - I to naprawdę długa minuta, albo i dłużej.
3048:  PM - I ja w końcu podniosłam rękę i zadałam pytanie tak nieskładnie zadane.
3052:  PM - Ja tam po prostu, ale byłam w szoku po tym całym spektaklu, po tym co zobaczyłam, że wydawało mi się, że nawet nikt się nie dziwi, że ja tak nie umiem tego pytania zadać.
3061:  PM - Ale chodziło mi o to, czy ci aktorzy się jakoś przygotowywali psychicznie do odegrania tych scen, bo one były tak trudne.
3071:  PM - I pamiętam, że Leszek Lichota, pan Leszek Lichota odpowiedział, że śniły mu się czasami te sceny, które grał.
3078:  PM - Więc zapamiętałam tę odpowiedź, bo wiedziałam, że skoro ona padła, to znaczy, że on zrozumiał moje pytanie, mimo że zadałam je strasznie, a byłam już na studiach polonistycznych.
3087:  PM - Czyli powinnam, prawda, elegancko zadać to pytanie, już powinnam mieć wszystko w głowie ułożone.
3092:  PM - No nie, dlatego że byłam rozemocjonowana i nigdy wcześniej czegoś takiego nie przeżyłam.
3097:  PM - I to jest normalne, bo jesteśmy ludźmi, a nie robotami, algorytmem.
3101:  PM - A zapominamy chyba jakoś o tym zupełnie.
3104:  KMM - Zresztą też poruszyłaś ciekawą kwestię z tą pracą przed kamerą, mnie bardzo zainteresowało, bo zastanawiałem się od trzech lat, jak mam taką opcję na moich egzaminach, że można zdać pracę zaliczeniową w formie TikToka albo w formie filmu.
3117:  KMM - Wiesz, że nikt z tego jeszcze nigdy nie skorzystał?
3119:  PM - Ale, bo to nie jest łatwa sprawa.
3120:  KMM - Oczywiście, że to nie jest łatwe.
3121:  KMM - Powiedz w 59 sekund.
3122:  KMM - Tak.
3124:  KMM - Coś, co jest merytoryczne, co jest wartościowe i esencjonalne.
3129:  KMM - Najciężej się takie rzeczy robi.
3131:  KMM - I zresztą, jak ćwiczymy na seminariach dyplomowych obronę, mamy zwykle 10 minut.
3136:  KMM - Ja mówię, 5 minut.
3138:  KMM - 5 minut.
3139:  KMM - A nie da się powiedzieć pracy ciencieckiej.
3141:  KMM - Da się powiedzieć.
3142:  KMM - Ja też myślałem kiedyś, że się nie da powiedzieć.
3144:  KMM - Że po przecinkach będę wymieniał rzeczy interesujące mnie i że to nie będzie wystarczająco esencjonalne.
3148:  KMM - Da się.
3149:  KMM - I to jest akurat ćwiczenie, wydaje mi się, które
3152:  KMM - To wymaga maestrii językowej absolutnej i opanowania struktur językowych, także świadomości na co sobie możemy pozwolić i tego, że tak można zdanie podrzędne złożone bez żadnego problemu sformułować i wystarczy akcentować w dobrych momentach i ludzie nie będą myśleli, że to jest ojej długie zdanie, to sobie z nim nie poradzimy.
3174:  PM - Też czytałam chyba artykuł na ten temat, że nauczyciele są przerażeni tym, jak maturzyści nie potrafili zdać matury ustnej, w sensie zbudować tej ustnej wypowiedzi.
3185:  PM - I ty wspominałeś, że widzisz coś podobnego, że studenci mają kłopot z zbudowaniem ustnej wypowiedzi.
3190:  KMM - Tak, to jest niestety notoryczne w tym momencie.
3194:  KMM - I zresztą Nibendi jest bardzo złośliwy.
3196:  KMM - To nie jest tak, że studenci teraz... Nie, nie, nie, nie, nie, nie.
3199:  KMM - Wystarczy złapać jakiegoś dziennikarza pozakadrowo, wykształconego w latach 70-80.
3207:  KMM - Wystarczy zobaczyć w jaki sposób piszą komentarze 40 i 50-latkowie na Facebooku, wstawiający spację przed przecinkami i nagle się okazuje, że ta nasza kultura języka nie jest kształcona od bardzo, bardzo dawna.
3222:  PM - Akurat dziennikarze z urodzedzi w latach 60-tych, 70-tych mogli nie uczyć się pisania na komputerze, więc może to, ale rzeczywiście to jest zabawne.
3234:  PM - Na ich się ja widzę braki w jednościach pisarskich, dziennikarzy, człowiek.
3242:  PM - Ale przepraszam bardzo, wydaje mi się, że kiedyś tak było, kiedyś o tym słyszałam, że zajęcia z kultury języka polskiego na dziennikarstwie są tylko na pierwszym roku.
3253:  PM - Przez pięć lat powinny być te zajęcia.
3255:  PM - To powinna być podstawa tych studiów.
3258:  KMM - Zajęcia spisarskie na dziennikarstwie też na niektórych uczelniach są rzadkością ujot i mówili mi to sami studenci.
3266:  KMM - I mówili to mi właśnie przerażeni absolutnie, że my
3269:  KMM - tego chcemy.
3270:  KMM - Myśmy się chcieli ćwiczyć w różnych formach i to jest też kluczowe.
3273:  KMM - Nie w tradycyjnych formach dziennikarskich, bo dziennikarstwo szpaltowe w tym momencie odchodzi do lamusa, bo nie ma by szpalt w internecie.
3281:  KMM - Ale zauważyłaś, że została jedna rzecz w internecie.
3284:  KMM - Co z tego, że nie drukujemy już?
3287:  KMM - Nie ma hiperłącz, nie ma przypisów.
3289:  KMM - Przecież nie było przypisów w gazetach tylko dlatego, że tam nie było miejsca na to.
3292:  KMM - A dzisiaj jesteśmy w stanie konstruować o wiele bardziej kompetentne i złożone teksty, multimodalne, z wieloma ilustracjami,
3300:  KMM - I dalej tego nie ma.
3301:  KMM - I nie korzystamy z tego, właśnie dlatego, że nie ma na studiach dziennikarskich treningu tych nowych form, odpoczynając właśnie od TikToka, czy jakiegoś dziennikarstwa, takiego obywatelskiego, oddolnego, a skończywszy właśnie na jakimś reportażu, który jest interaktywny.
3315:  PM - I to jest zabawne, bo właśnie na tych moich studiach magisterskich, na tej właśnie specjalizacji miałam zajęcie, już nie pamiętam, jak one się nazywały, ale uczyliśmy się tego, jak pisać bloga.
3325:  PM - Założyłyśmy ze studentkami blog, tworzyłyśmy artykuły, zwracałyśmy uwagę też na to, jak działają nowe media.
3334:  PM - Pamiętam, że artykuł, na przykład omawiałyśmy taki artykuł, który dotyczył jakiejś tragedii, a pod spodem reklama gołych pośladków Nataszy Urbańskiej.
3341:  PM - Pozdrawiamy Nataszę Urbańską.
3344:  PM - Czyli tak jakby omawiałyśmy to, że nowe media jeszcze muszą popracować nad zestawianiem przeróżnych treści ze sobą.
3350:  PM - Chyba do tej pory jest z tym kłopot, ale już wtedy się tym zajmowałyśmy i to był 2012 rok.
3355:  PM - 11-12?
3355:  PM - 11-12.
3361:  PM - I ja myślałam, że to jest dzisiaj naturalne.
3368:  PM - Wtedy, dlaczego ja miałam szansę, i to było takie naturalne, że my się tym zajmujemy, hiperteks, hiperłącz, no omawialiśmy to wszystko.
3378:  PM - A teraz co?
3379:  PM - Ja nie wiem nawet, czy na polonistyce dalej te zajęcia są, a inne kierunki w ogóle tego nie mają.
3385:  PM - To jest wszystko jakieś takie na głowie postawione i nie wiem, z czego to wynika.
3389:  PM - Czy to trzymają w ryzach jacyś tacy ludzie, którzy są przyzwyczajeni do dawnego układu?
3394:  PM - Czy brakuje na to finansów, bo to trzeba by jednak mimo wszystko zaorać do spodu z tym, jechać i zbudować na nowo?
3401:  PM - Czy brakuje jakiejś wizji, czy energii, czy chęci?
3406:  PM - Czy ludzie są tak zapracowani, że już nie mają siły na te zmiany?
3408:  PM - Bo na przykład te zajęcia z kamerą, sonda, prawda?
3411:  PM - Ktoś może powiedzieć, gdzie to wcisnąć, jaki przedmiot?
3414:  PM - Na godzinie wychowawczej.
3416:  KMM - Na przykład, która nie jest godziną pracy administracyjnej, tak nawiasem mówiąc.
3421:  PM - Nie jest, nie jest, tu chodzi z godziną wychowawczą i zrobić takie zajęcia, na przykład ja miałam takie zajęcia z Karoliną Korwin-Piotrowską z autoprezentacji, już jako youtuberka, Google zorganizował i Pani Karolina dała nam takie zadanie, żeby każdy z nas wyszedł na środek i przez minutę się autoprezentował.
3440:  PM - mówiła, że a tutaj trzeba było większy akcent na to, tu nie zaciekawiłeś, mogłeś więcej czasu temu poświęcić, tutaj za dużo gestu.
3447:  PM - Świetne.
3448:  PM - Ale to też jest wychowawcze, prawda?
3450:  PM - To jest idealne, żeby takie ćwiczenie zrobić na godzinie wychowawczej.
3455:  KMM - I znowu zobaczyć, jakie praktyczne, bo to jest coś, o co się faktycznie będą pytać w pracy.
3460:  KMM - Pitchowanie projektu, następna rzecz.
3462:  KMM - Ale w pracy, ale na Tinderze.
3464:  KMM - Ale autoprezentacja na Tinderze.
3467:  PM - Tak, absolutnie.
3468:  PM - To jest wszędzie.
3469:  PM - I tutaj nie trzeba nie wiadomo czego, narzędzi, sal, rzutników.
3474:  PM - To jest takie ćwiczenie, które tutaj może mnie zarażować.
3477:  KMM - Bo ludzie też myślą bardzo często o formie, że jak słyszą TikTok, to myślą sobie, aha, media społecznościowe, smartfon, drogie, ale nie zdają sobie sprawy z tego, że to jest komunikat, który jesteś w stanie wygłosić na po prostu przy warunkach brzegowych, masz 59 sekund i komunikat do skonstruowania i teraz zadba jeszcze o to, że on był atrakcyjny.
3498:  KMM - Możesz sobie za sobą coś wyświetlić na ekranie, ale możesz nie wyświetlić, możesz przynieść ze sobą kartkę
3502:  KMM - i przekładać te kartki.
3504:  KMM - Możesz robić dosłownie cokolwiek.
3507:  KMM - To samo też odnośnie do gier wideo.
3509:  KMM - Kiedy się mówi o grach wideo w kontekście szkolnym, to od razu mamy argumenty finansowe, a tymczasem pisanie fabuły do gier wideo potrzeba do tego zeszytu i długopisu.
3518:  KMM - To jest wszystko, czego potrzebujemy.
3520:  KMM - Ale wiesz, uśmiechnąłem się, jak powiedziałaś, o tych hiperłączach w 2012, ponieważ byłem ostatnio głosować, to zobaczyłem na tablicy korkowej gazetkę szkolną.
3530:  KMM - I zastanawiałem się, Jezus, czyli teraz jest znowu 1997 rok, ja odmłodniałem nagle, jak cudownie.
3537:  KMM - Tak, też widziałam.
3538:  KMM - Ale nie, no przecież nie możemy sobie bloga na WordPressie, czy gdziekolwiek indziej w tym momencie, czy Squarespace, nie mamy integracji ze Squarespace, to jest zabawne, bo o Squarespace zwykle słyszę, jak są integracje w internecie, ale jakikolwiek serwis, za pomocą którego możemy bez żadnych umiejętności w kodowaniu.
3554:  KMM - zrobić gazetkę szkolną, a jeżeli chcemy, możemy to połączyć z informatyką.
3557:  KMM - Ludzie, którzy kodują, niech sobie zakodują sobie stronę, a ludzie, którzy dają tekst, niech dadzą do niej tekst.
3563:  KMM - I mamy w tym momencie stworzone nowoczesne medium i możemy bez żadnego problemu, bez, wiesz, nacisku ze strony ministerstwa, że o, zrobimy ścieżkę przedmiotową informatyka i język polski, dajmy na to 60 miliardów złotych.
3574:  KMM - Nie, możemy to zrobić teraz.
3575:  KMM - Tylko, że, wiesz, nie ma takiego pomysłu z tego względu, że jesteśmy zafiksowani na myśleniu formuł, a nie treścią, wydaje mi się.
3582:  KMM - Za bardzo.
3583:  KMM - Ale jeżeli już mówimy o takich tanich rozwiązaniach, bo podajesz fantastyczne przykłady właśnie z tą autoprezentacją, to ta nieszczęsna matura kiedyś miała taką formułę, to znaczy była ta prezentacja ustna i można było mieć swój własny temat.
3598:  KMM - No ale wiesz, co z tego, że masz swój własny temat, jak powstaje argument wtedy, który jest zawsze, że no a co jeżeli uczeń wymyśli sobie jakiś utwór, wymyśli sobie jakiś film, wymyśli jakiś serial albo jakąś książkę, co wtedy?
3613:  KMM - Jak to kontrujesz, jeżeli kontrujesz?
3615:  PM - Nigdy nie słyszałam.
3616:  KMM - Nie słyszałaś tego argumentu?
3617:  PM - To się bardzo często pojawia, nie?
3619:  PM - No to jesteś nauczycielem, więc powinieneś wychwycić chyba, nie?
3624:  PM - Że coś nie styka.
3627:  KMM - Ale wiesz, jak ktoś nie chce być na bieżąco, to jest problem pewien.
3631:  PM - Ale poza tym przecież nie jest tak, że od razu chyba maturzysta dostaje wynik.
3634:  PM - Wychodzi, wtedy nauczyciel wyciąga.
3637:  Takie urządzenie jest obfite.
3639:  Tak.
3641:  PM - I sobie wpisuję i się okazuje, że czegoś takiego nie ma.
3644:  PM - I wtedy wstawia odpowiednią ocenę.
3646:  PM - Nie wiem.
3646:  PM - Nie spotkałam się nigdy z takim argumentem.
3648:  KMM - Ty trzeba mieć też fantastyczne kompetencje językowe, tak, o tym myślę.
3651:  KMM - Żeby wymyślisz przykład, to jeszcze o nim opowiedzisz w sposób przekonywający.
3655:  PM - W pierwszej chwili o tym pomyślałam.
3656:  PM - że to jeszcze dobrze świadczy o tym otoczyście, że w sytuacji stresującej był w stanie coś tam ten wymyślić i przekonująco właśnie o tym opowiedzieć.
3669:  PM - Wszystko zależy od komisji.
3670:  PM - W różny sposób można na to patrzeć.
3672:  PM - Ale też, kurczę, no pasowałoby wykazać się jakimś zaufaniem społecznym.
3679:  PM - A dlaczego od razu zakładać, że ktoś oszuka, wymyśli, zmyśli...
3684:  KMM - Bo wiesz, kultura błędu.
3685:  PM - No właśnie.
3687:  KMM - A jakie są takie cechy, które byś wymieniła, powiedzmy, szumnie polskiego obywatela z perspektywy rządu?
3694:  KMM - Tak trzeba to sprzedawać, nie?
3697:  KMM - Który powinien mieć je po maturze językowe.
3701:  KMM - Patrzysz pragmatycznie czysto, żeby przekonać i człowieka po lewej stronie i po prawej stronie.
3707:  KMM - Pragmatycznie, co musisz mieć, co musisz umieć, żeby funkcjonować sprawnie w społeczeństwie.
3712:  KMM - Bo jeżeli chodzi o matematykę, to jesteśmy w stanie to powiedzieć.
3715:  KMM - Fizyka, chemia i tak dalej.
3716:  KMM - A jeżeli chodzi o język polski, to mamy takie lektury Mickiewicz.
3721:  PM - Trochę tak, ale wydaje mi się, że jeśli chodzi o te humanistyczne przedmioty, to nie tylko język polski, to bardzo ważne jest to, żeby uczniowie, którzy zdali maturę, kojarzyli historię naszego kraju.
3736:  PM - I na przykład potrafili wychwycić jakieś takie sytuacje, które zbliżają nas do jakichś tragicznych wydarzeń z naszej historii, które już się wydarzyły.
3749:  PM - A my, nie znając tych wydarzeń i konsekwencji tych wydarzeń, brniemy znowu w ten kozi róg.
3755:  PM - A wydaje mi się, że ludzie... Wszystko już było.
3760:  PM - Powiedzmy sobie szczerze, po napisaniu tej literatury, gdzie wzięłam całą polską literaturę, przejechałam, doszłam do bardzo smutnego wniosku.
3768:  PM - Wszystko już było.
3769:  PM - Myśmy już o wszystkim debatowali.
3771:  PM - O prawach kobiet, o feminatywach.
3773:  PM - My teraz tylko kręcimy się w kółko, zmierzając zupełnie donikąd, jak napisał Myśliwski.
3779:  PM - Wszystko już było.
3780:  PM - Więc byłoby idealnie, gdyby właśnie taki uczeń zrozumiał, co się wydarzyło wcześniej i już potrafił wychwytywać niektóre niebezpieczne tendencje, unikać zagrożeń i wiedzieć, co to jest polityka, żeby nigdy nie wypowiedział zdania, ja się polityką nie interesuję.
3799:  KMM - O, to ładny przekaz.
3801:  PM - Bardzo dużo młodych ludzi tak mówi, ja się polityką nie interesuję, tak?
3804:  PM - Tak.
3805:  PM - Nie sądzę.
3807:  PM - Ty się nie wiesz, jak bardzo się interesujesz polityką.
3810:  KMM - To zwłaszcza widać po tych komentarzach.
3812:  KMM - A czysto językowe kompetencje?
3815:  KMM - Jakie by były dla ciebie najważniejsze?
3819:  PM - Żeby człowiek jakoś tak mówił, żeby się dało tego słuchać.
3822:  KMM - Mhm.
3824:  PM - Żeby jego wypowiedź nie tworzyła bariery niepotrzebnej.
3828:  PM - Żeby jakieś tam szukanie, dukanie, właśnie problemy składniowe.
3834:  PM - Żeby potem jakiś tam profesor nie musiał wytykać problemów składniowych.
3838:  S05 - Tylko żeby to było w miarę.
3840:  PM - No trochę tak, no język nam jest potrzebny do tego, żebyśmy się skutecznie komunikowali.
3845:  PM - No to chciałabym, żeby taki uczeń po prostu skutecznie się komunikował.
3848:  PM - Ale też na przykład potrafił opowiadać o swoich emocjach.
3852:  PM - Czyli wiedział, co czuje.
3853:  PM - Ale nie wiem, czy szkoła jest w stanie tego nauczyć.
3856:  KMM - Jeżeli masz interpretację według klucza, to nie możesz nauczyć ludzi.
3859:  PM - No właśnie, bo ja pamiętam na zajęciach licencjat robiłam z poezji.
3865:  PM - Poezja 45 chyba 2000.
3866:  PM - Dlatego, że nie lubię poezji.
3868:  PM - I stwierdziłam, że idę na to seminarium, bo ten człowiek, który prowadzi to seminarium jest jedyną osobą najprawdopodobniej na tej uczelni, która może mnie jakoś przekonać do tej poezji.
3876:  S05 - Udało mu się?
3877:  S05 - Tak.
3877:  PM - Tak, nawet tak.
3877:  PM - Znaczy nie jest tak, że jestem teraz wielką fanką poezji, bo ja bardzo lubię prostotę i czasami uważam, że niektóre wiersze to jest przerost formy nad treścią, ale rozumiem, że ktoś się nimi zachwyca i o to właśnie chodzi, że się pięknie różnimy.
3888:  PM - Ja mam tak, ty masz tak, wspaniale, możemy się rozejść.
3891:  PM - No i tam omawialiśmy Mirona, Miron Czarnie.
3895:  PM - No i w liceum uczymy się, że to Miron się męczy, tak, bo nie ma tej weny.
3900:  PM - A mój kolega powiedział, a może Miron męczy wenę?
3908:  PM - Przecież to jest tak napisane, że równie dobrze to on może męczyć tę wenę, a nie on się męczy, tylko on przyjdź do mnie, no przyjdź.
3917:  PM - I prowadzący te zajęcia nie powiedział, no nie, to przecież, tylko powiedział, no można to też tak zinterpretować.
3926:  PM - I to była krótka wymiana zdań, a ja, już mózg mi eksplodował.
3932:  PM - To tak można rozmawiać o utworach?
3935:  PM - Ktoś może powiedzieć, ale to inaczej, a może.
3938:  PM - A pójdźmy w ten kierunek, a pomyślmy, a pozastanawiajmy, a obejrzyjmy to z tej strony.
3943:  PM - Ale my się tego nie uczymy, bo my się uczymy ABCD.
3946:  PM - I nie ma nic pomiędzy.
3947:  PM - A właśnie najciekawsze jest to, co pomiędzy.
3951:  KMM - To jest zabawne, wiesz, bo prawda jest taka, że jak mamy studia, to uczymy się tam lepiej niejednokrotnie tego, co moglibyśmy zrobić w szkole, a tymczasem szkoła idzie w taki akademicki dryl i skutek jest tego taki, że kształci naukowców, ale kiepskich.
3967:  KMM - I to jest straszne, że się tak strasznie boi, na przykład pamiętam swoje własne praktyki nauczycielskie, jak mówiono mi, że nie mogę użyć jakiegoś trudnego słowa.
3976:  KMM - A ja mówiłem, dlaczego?
3977:  KMM - Dlaczego traktujesz dzieci jak głupców?
3980:  KMM - Moja mama, pamiętam, opowiadała mi, jak z wózkiem szła i mówiła mi o nitach na moście.
3987:  KMM - No i wszyscy jej... Co ty mówisz?
3990:  KMM - Co ty mówisz?
3990:  KMM - Przecież powinnaś do dziecka mówić o ciupu, ciupu, lupu, siupu, siupu.
3995:  KMM - No i potem, tak, no mówi się tak do człowieka i człowiek też mówi już później w kanale Zelo 40 lat ma ciupu, lupu, siupu, dupu, tak?
4004:  KMM - No i taki jest niestety efekt, że to, co słyszymy, to nas dociera, jest imersja językowa, zanurzamy się w tym języku jakoś
4010:  KMM - I nie uzyskałem odpowiedzi, dlaczego nie mogę użyć tego trudnego słowa.
4014:  S05 - Po prostu nie.
4015:  KMM - Oczywiście, że go użyłem na złość, po czym dostałem pytanie, a co to znaczy?
4020:  KMM - I potem poszedłem do tej polonistki i powiedziałem, dostałem pytanie takie, jakiego pani nie dostała, bo pani pyta ludzi na koniec lekcji, a czy wszystko dzieci zrozumiały i dzieci odpowiadają...
4032:  KMM - Nic.
4032:  KMM - No oczywiście, że nic, tak?
4034:  KMM - Bo siedzą cicho.
4035:  KMM - A ja dostałem to pytanie gratis.
4036:  KMM - Ja nie musiałem o nie poprosić.
4038:  KMM - I to było coś, o co człowiek spytał zainteresowany.
4041:  KMM - I mam wrażenie, że właśnie tego treningu ciekawości totalnie nie ma.
4044:  KMM - A to jest ta interpretacja, o której mówisz.
4046:  PM - Ale gdzie jest miejsce na ciekawość, jak te dzieci są przerażone, się boją tych nauczycieli, mam wrażenie.
4051:  PM - Chociaż za moich czasów było tak, że myśmy się bali nauczycieli.
4054:  PM - Teraz wiem, że różnie bywa, że czasami to nauczyciel się boi, bo nie chce tak generalizować.
4059:  PM - Ale moja szkoła to była taka bardziej opresyjna chyba, że ten nauczyciel... Gdzie tu miejsce na ciekawość dziecka?
4065:  PM - Ciekawość...
4067:  PM - Masz być posłuszna i masz się uczyć tego, czego powinnaś się nauczyć i to jest twoje zadanie.
4074:  PM - To jest one job, you have one job.
4077:  PM - A właśnie coś poza to już wykraczało poza percepcję, ale też tak przypomniało mi się,
4085:  PM - Że my też cierpimy na dosłowność, bo kiedy powiedziałam Ci, że uczymy się ABCD, a nic pomiędzy, a najciekawsze jest to, co pomiędzy, to jestem przekonana, że mógłby się pojawić komentarz, no tak, bo w matematyce 2 plus 2 to ciekawe, co pomiędzy.
4102:  PM - Odpowiedź jest jasna.
4103:  PM - No to właśnie mogę na to odpowiedzieć w jeden sposób.
4108:  PM - To zależy.
4109:  PM - W matematyce tak.
4111:  PM - Ale ja mówię o humanistycznych na przykład przedmiotach, w których często nie ma ABCD.
4117:  PM - No nie ma.
4118:  PM - Bo różnie możemy interpretować.
4120:  PM - I to jest najśmieszniejsze, że my czasami odpowiadamy ABCD na pytanie, co tam w Kordianie Słowackiego.
4128:  PM - Bardzo przepraszam, ale jestem przekonana, czuję wewnętrznie, że Słowacki tego Kordiana pisał
4135:  PM - pod wpływem haszyszu, absyntu, wszystkiego, co się dało.
4140:  KMM - Oni tam mieli pełen zestaw.
4141:  PM - On sam nie wie, o co mu chodziło w niektórych... On sam nie wie.
4146:  PM - Gdyby go teraz zapytać, myślę, to on by musiał coś szyć.
4150:  PM - Główny zamysł pewnie tak, ale jakieś takie drobiny.
4154:  PM - No dlaczego ten Kordian z Mont Blanc do Warszawy na chmurze przyleciał?
4159:  PM - Co to może oznaczać, ta chmura?
4161:  PM - Bo moim zdaniem to oznacza, że on po prostu jarał chaszysz i stwierdził, jak on ma się szybko przenieść.
4167:  PM - Wydmuchnął to i stwierdził, on będzie na chmurze.
4173:  PM - A my debatujemy, dlaczego na chmurze?
4175:  KMM - Ale wiesz, mamy żyjących pisarzy, im zadajemy to pytanie, a to zauważ, że... Oni sami nie wiedzą.
4180:  KMM - Andrzej Sapkowski, pytany o różne rzeczy w Wiedźminie, odpowiadał, Wena przylatywała nad blokiem.
4184:  S05 - No tak.
4184:  KMM - No i wiesz, potem Andrzej Sapkowski, któremu życzymy jak najwięcej lat, w którymś momencie odejdzie i będziemy mieli te 30 lat karencji i potem nauczyciele będą już interpretować właśnie w sposób jednoznaczny.
4196:  KMM - Znaczy mam nadzieję, że już wtedy nie, ale z drugiej strony doświadczenie uczymy, że tak.
4199:  PM - Jest takie ryzyko, że tak, że będzie klucz na to i tak...
4203:  PM - A przecież można tyle rzeczy przeżyć w związku z tym kordianem i z tym wiedźminem i podyskutować i się nie zgadzać.
4210:  PM - Kluczem jest to, żeby umieć się nie zgadzać.
4212:  PM - A jak mamy się nauczyć nie zgadzać, skoro wszystko jest już z góry ustalone i jedyne co musimy zrobić to zapamiętać to, czego mamy się nauczyć.
4221:  PM - I zero kreatywności, zero wolności, zero swobody.
4225:  PM - I to wszystko ma swoje konsekwencje w internecie.
4228:  PM - Nie ma ani ciekawości w nas, my się nie interesujemy drugim człowiekiem, nie potrafimy ze sobą dyskutować, nie wierzymy, że istnieją odcienie szarości.
4237:  PM - Na przykład moim zdaniem my, milenialsi, tak się ukształtowaliśmy w tej szkole i teraz to przenosimy na życie?
4245:  PM - A moim zdaniem to życie tak nie wygląda i umyka nam jakaś prawda i jakieś też korzyści społeczne, które wynikałyby na przykład z tego, że potrafilibyśmy ze sobą porozmawiać.
4254:  PM - No ja bardzo chciałabym, żeby ktoś kiedyś z prawej i z lewej strony usiadł i tak sobie porozmawiał, bo przecież prawda jest taka, że nam wszystkim chodzi o to, żeby Polska była bezpiecznym, bogatym.
4267:  PM - szczęśliwym krajem, żeby każdy czuł się tutaj zaopiekowany, że tak po raz kolejny użyje tej troszeczkę łamiącej zasady językowej konstrukcji, ale bardzo potrzebnej jednocześnie.
4280:  PM - I gdybyśmy się skupili na tym, co nas łączy,
4283:  PM - I od tego wyszli w tej rozmowie.
4285:  PM - A potem przeszli do tego, że mamy inny pomysł na to, jak do tego dojść, to może łatwiej by nam było dojść do jakiegoś porozumienia, ale też połączyć siły, poszerzyć horyzonty, wyjść ze swojej bańki, bo to jest teraz bardzo duże zagrożenie, że my siedzimy w tych swoich bańkach i nie wychodzimy z nich sami.
4304:  PM - Ja wiem, że to jest czasami niewygodne i czasami wręcz fizycznie boli, kiedy musimy czytać różne artykuły, na przykład, które pojawiają się na serwisach zupełnie z innej bajki, ale musimy to robić, musimy to robić, żeby...
4319:  PM - No czasami też zmieniać zdanie, poszerzać horyzonty i też być odporni na dezinformację, bo jak żyjemy sobie tylko w jednej bańce informacyjnej, to bardzo łatwo nami manipulować, bo mamy zakrzywiony po prostu obraz świata.
4333:  PM - Więc dla swojego dobra...
4336:  PM - powinniśmy funkcjonować w tych różnych miejscach internetu i nie z takim nastawieniem, że o, ty taki, owa, ty durny, z debilami nie rozmawiam, tylko okej, oni jakoś patrzą na to inaczej.
