Jak stworzyć GRĘ WIDEO, która wciąga? @KrzysztofMMaj  i Krzysztof Kluza | 53
2774:  KMM - Tutaj dochodzi długa dyskusja na temat lokalizacji gier, wideodubbingów, lokalizacja gry, nie mylić z lokacją.
2779:  KMM - Lokacja to miejsce, lokalizacja to jest tłumaczenie na dany język.
2784:  KMM - Polska lokalizacja oznacza, że są polskie dialogi na przykład, ale nie musi być pełna, bo wtedy oznacza, żebyśmy wtedy dogrywali jeszcze kwestie dialogowe.
2791:  KMM - No i oczywiście mamy ten trzeci etap, najtrudniejszy, na który nie wszyscy się decydują.
2795:  KMM - Conlang, stworzenie języka sztucznego, ksenojęzyka.
2798:  KK - Można wziąć przecież naturalny język, nie wiem, suahili na przykład.
2803:  KK - W cywilizacji pamiętam, że takie piękna modlitwa ojczyna suahili była śpiewana, prawda?
2812:  KK - Czemu tego nie robi?
2812:  KK - To się też zdarza.
2814:  KMM - John Williams wykorzystywał sanskryt do pieśni na pogrzebie Padme Amidali.
2819:  KMM - Spoiler z Padme Amidalą, przepraszam.
2822:  KMM - Oprócz tego w Matrixie jest w sanskrycie śpiewany werset z Upanishad w trakcie walki Neo ze Smithem.
2831:  KMM - Spoiler odnośnie do walki Neo ze Smithem.
2834:  KMM - Więc to się zdarza absolutnie, tylko myślę, że tutaj trzeba właśnie wybierać bardzo takie ezoteryczne języki i też uważać na to, że no dobra, jeżeli weźmiemy ten ezoteryczny z naszej europejskiej perspektywy język, no to ludzie, którzy mieszkają w Indiach na przykład i posługują się sanskrytem, niektórzy się posługują jeszcze, to jest język niemartwy, ale wygasający, no to dla nich to nie będzie egzotyczne.
2856:  KMM - Ja wiem, co tu się dzieje.
2858:  KMM - To jest troszeczkę tak, jakbyśmy mieli elfy, które nagle zaczynają się posługiwać językiem śląskim na przykład.
2866:  KMM - Jeśli już, to byśmy to dopasowali do krasnoludów bardziej, ale trochę jednak by to nie pasowało.
2871:  KMM - Więc to jest ciekawe bardzo, jak używany język wpływa na to, jak myślimy.
2875:  KMM - Natomiast na pewno jest takie przekonanie wśród światotwórców, że trzeba być jak Tolkien.
2880:  KMM - Tolkien jednak stworzył te Quenie, Sindarin i wszelkie odmiany języków ludzkich, język kazalit, czyli język krasnoludowy, by dużo tego było, no i czarną mowę.
2890:  KMM - To jest najciekawszy chyba kazus.
2892:  KMM - Czarna mowa korzysta z głosek frykatywnych, bo...
2895:  KMM - To jest moja hipoteza, ale dużo stworzeń, których się boimy, węże, syczą.
2901:  KMM - Więc w wielu językach głoski frykatywne są używane w słowach, które budzą lęk albo są nieprzyjemne.
2906:  KMM - Tak samo, nie wiem, teraz nie będę szumiał do mikrofonu, ale gdybym zaszumiał, to byłoby to nieprzyjemne, zwłaszcza dla tych, którzy noszą słuchawki.
2912:  KMM - A zatem wszystkie te w czarnej mowie
2917:  KMM - Są ciary, nie?
2918:  KMM - Ale one są uniwersalnie u wszystkich użytkowników wszystkich języków, dlatego że Tolkien przyjrzał się temu właśnie jak na takim bardzo atomowym poziomie są używane różnego rodzaju zgłoski.
2931:  KMM - Tylko to jest też ciekawe.
2932:  KMM - Tolkien powiedział, że nigdy nie będzie rozwijał czarnej mowy, bo ona jest zła.
2936:  KMM - Więc tam mamy bardzo niewiele słów w czarnej mowie, ale języki elfickie Aquenia i Sindarin są opisane w taki sposób, że jest grupa użytkowników, która nie tylko się nimi posługuje, ale też je rozwija.
2947:  KMM - Tak samo pismo elfickie Tengwar jest rozwijane.
2950:  KMM - Taką osobą, która na przykład uczy pisania Tengwaru jest Ryszard Derdziński, który prowadzi Tolkienowski Serwis Informacyjny.
2957:  KMM - To się dzieje jak najbardziej i można to robić, tylko zawsze zwracam uwagę, że to jest takie już światotwórstwo poziomu mistrzowskiego.
2963:  KMM - Tak samo jak ksenokartografia, czyli projektowanie z kolei map fantastycznych.
2968:  KMM - Ja mam taką mapę na ścianie, została zaprojektowana przez kartografa niepraktycznego, polecam jego profil najserdeczniej i jego pracę, ale on w bardzo specyficzny sposób do tego podchodzi, bo kreśli mapy tak, jakby należało zgodnie ze sztuką kartograficzną,
2981:  KMM - A nie tak, że o tu sobie zrobimy takie kopczykowe góry, a tu sobie poprowadzimy rzekę.
2986:  KMM - Już ile razy widziałem mapy światów fantastycznych, gdzie rzeki płynęły np.
2991:  KMM - od morza w górę, co nie miało żadnego sensu, ale no tak płynęły, tak?
2996:  KMM - Więc to się zdarza, ale różni ludzie to wybaczali mówiąc, że to nie ma żadnego znaczenia.
3000:  KK - Z drugiej strony to jest fantastyka, to chyba można zmieniać trochę fizykę, czy nie?
3004:  KMM - No i tu jest właśnie to ciekawe pytanie, które mamy.
3007:  KMM - Ja uważam, że absolutnie nie jest argumentem, chociażby na rzecz tezy, że możemy sobie cokolwiek robić w fantastyce, to że smoki zieją ogniem i jest magia.
3017:  KMM - No tak, oczywiście jest, ale jeżeli na przykład mamy świat, który jest stylizowany na średniowiecze, w którym żyją smoki, jest magia,
3025:  KMM - No to musimy sobie zadać podstawowe pytanie, chociażby jeżeli chcemy mieć multietniczne miasto, bo to jest popularna rzecz teraz, no to dobrze, czyli są warunki ku temu, tak?
3033:  KMM - Jaka była migracja ludów i wędrówka ludów?
3037:  KMM - Czy są techniczne warunki do tego, żeby ludzie ze strefy podwzrotnikowej migrowali do strefy umiarkowanej?
3042:  KMM - Czy w ogóle są takie strefy klimatyczne w tym świecie i na tej planecie?
3046:  KMM - No i wtedy możesz sobie odpowiedzieć na to pytanie, że no, mamy bramy teleportacyjne na przykład.
3050:  KMM - Okej, czyli masz społeczności multietniczne i nikogo to nie dziwi.
3053:  KMM - Ale jeżeli tego nie powiesz, to co robi nasz mózg?
3055:  KMM - Nasz mózg wtedy mówi, okej, to jest niedopowiedziane, czyli ja biorę całą swoją wiedzę z zakresu średniowiecza, ogólną, która mówi mi, że miast multietnicznych nie ma.
3064:  KMM - W Europie przynajmniej.
3065:  KMM - Więc jeżeli mam europejski zamek, a nie żaden inny, no to będę się sprzeciwiał mówiąc, nie, to jest nierealistyczne, żeby tutaj się pojawiły na przykład osoby czarnoskóre, bo nie mogą się tutaj pojawić, to był kazus, który mieliśmy przy Wiedźminie.
3077:  KMM - I on jest ciekawy.
3079:  KMM - A już na pewno, jeżeli mówimy o świecie Tolkiena, gdzie ludy czarnoskóre są sportretowane w Rune i na południu w Haradzie z tego właśnie względu, że tam nie ma technologicznych możliwości na tego rodzaju migrację.
3093:  KK - Naprawdę jest taki z tym problem w odbiorze?
3096:  KK - Bo ja mam wrażenie, nie wiem, oglądasz musical Hamilton, prawda, ojcowie założyciele nie byli
3106:  KK - kolorowi, a tu jednak się okazuje, że mogli być.
3111:  KMM - Mam wrażenie, że jeżeli jest to cokolwiek osadzone w naszej rzeczywistości, to mamy o wiele większe pole manewru.
3117:  KMM - Natomiast jeżeli zmieniamy jakiekolwiek dane w rzeczywistości fikcyjnej, to zauważ, że
3122:  KMM - To jest tak, jakbyś wyrzucał komuś koło ratunkowe albo pozbawiał jedynej kotwicy poznawczej.
3127:  KMM - Nasz mózg potrzebuje stałości.
3128:  KMM - Więc jeżeli ja mam świat, który wiem, że nie istnieje, to ja chcę, żeby tam były jakieś prawa, które działają po to, żebym nie zwariował.
3134:  KMM - Żebym miał jakiś pewnik, bo wszystko inne się może zmienić.
3137:  KMM - I jest bardzo dobry esej na ten temat o...
3140:  KMM - istnieniu postaci fikcyjnych, autorstwa Umberto Eco, Ontology of Fictional Characters.
3144:  KMM - I on tam mówi, że, to jest interesujące, to znaczy, że australijski akwarelista, austriacki akwarelista, muszę tak powiedzieć, żeby nas nie zbanowali, jest postacią mniej faktyczną niż, czy jego śmierć, ciśnienie mówiąc, niż śmierć Anny Kareniny u, w Annie Kareniny Lwatu, spojler z Anny Kareniny.
3163:  KMM - Dlaczego?
3164:  KMM - No więc to ktoś może się obudzić.
3165:  KMM - Nie, nie, przecież na pewno austriacki akwalista zmarł wtedy, a wtedy.
3170:  KMM - No tak, dopóki nie znajdziemy dokumentu historycznego, który mówi, że jest inaczej.
3174:  KMM - I wtedy musimy przepisać wszystkie podręczniki, wszystkie filmy nakręcić na nowo, zrobić korekty, wszystkie programy nauczania na całym świecie.
3182:  KMM - Ile roboty?
3183:  KMM - A tymczasem możemy sobie napisać 15 pipsztylionów książek, w których Anna Karenina jednak przeżyła i dalej ona umrze w powieści Lwatu Ostoja.
3191:  KMM - To jest ten paradoks, który mamy, że fakty, które ustanawiamy w świecie fikcyjnym często są trwalsze od faktów, które mamy w rzeczywistości.
3199:  KMM - I zawsze polecam zastanowić się nad tym, komukolwiek kto w ogóle chce zrozumieć, dlaczego to może być problem dla fana czy dla gracza, że coś się zmienia w danym świecie.
3210:  KMM - Po prostu my wszyscy podskórnie czujemy, że one nie istnieją, więc chcemy mieć pewne wartości stałe, które są w tym świecie ustanowione, żeby móc iść dalej, nie zastanawiać się nad tym.
3221:  KMM - A jeżeli coś zostanie zmienione, to niech ktoś po prostu to w racjonalny sposób wytłumaczy, prawda?
3226:  KMM - Teraz jest bardzo głośna sprawa z wprowadzeniem w...
3230:  KMM - Adeptus Castodes, postaci kobiecych w uniwersum Warhammera 40 tysięcy.
3236:  KMM - Nie ma żadnego problemu, pomijając fakt, że Games Workshop zakomunikowało to w ten sposób, zawsze tam były postaci kobiece.
3243:  KMM - I fani mieli taki, nie no, zaraz, jak to zawsze?
3245:  KMM - No i zaczynają sprawdzać, prawda?
3246:  KMM - I się okazuje, że nie zawsze.
3248:  KMM - Okazuje się, że w ogóle nie powinien być problem, mamy...
3251:  KMM - Dwa zakony stricte żeńskie, stricte w uniwersum i równocześnie dwa stricte męskie i Adeptus Castodes był jednym z nich.
3258:  KMM - Zresztą jak Adeptus łacińskie nam mówi, końcówka gramatyczna bardzo wyraźnie klaryfikuje z jakim rodzajem mamy do czynienia, więc coś tutaj jest nie tak i...
3267:  KMM - I fani w tym przypadku mają rację.
3269:  KMM - Jest też to bardzo dobry film na ten temat, że przez 10 tysięcy lat istnienia uniwersum nikt się nie zorientował, że w Adeptus Castodes są też żeńskie postaci.
3278:  KMM - I jak spojrzymy na to z perspektywy zewnętrznej, to się wydaje, że to jest w ogóle jakiś absurd kompletny, że z perspektywy krytyki feministycznej i tak dalej powinniśmy to obśmiać.
3286:  KMM - Tak, ale nie.
3287:  KMM - Właśnie tu jest ten jeden problem.
3288:  KMM - Jeżeli ktoś traktuje niepoważnie odbiorców i nie klaryfikuje, nie wyjaśnia, tylko mówi somehow Palpatine returned, jak to w mojej ulubionej części Gwiezdnych Wojen, no to nie dziwmy się, że ludzie będą mieli z tym problem.
3302:  KMM - To jest leniwe pisarstwo.
3305:  KMM - I światotwórstwo, jeśli czegoś wymaga, to moim zdaniem w mniejszym stopniu talentu, mistrzostwa, wirtuozerii, jeśli chodzi o kunsztowne operowanie słowem,
3316:  KMM - Ale na pewno wymaga braku lenistwa.
3319:  KMM - Nie można być leniwym.
3320:  KMM - Trzeba znaleźć wytłumaczenie.
3322:  KMM - Ludzie potrafią wynajdować niesamowicie kreatywne wytłumaczenie i wyjaśnienia najbardziej dziwacznych rzeczy.
3328:  KMM - I to jest przyjemne, to jest fascynujące.
3330:  KMM - I ludzie dzięki temu są przez lata zainwestowani, powiem po angielsku trochę, w rozwój danego uniwersum, używając zwrotu Mary Lou Ryan, mówiącej o zainwestowaniu poznawczym.
3341:  KMM - To jak my inwestujemy w te światy, to nie jest tylko wymiar finansowy, my inwestujemy swoje godziny.
3347:  KMM - Poznawczo się inwestujemy w dane światy i chcemy zyskać jakieś dywidendy, jak w przypadku każdej inwestycji.
3352:  KMM - Więc jeżeli ktoś nas nie szanuje wtedy, no to wycofujemy swoje udziały.
3356:  KMM - To jest bardzo proste i wydaje mi się, że fakt, że niektóre światy przez 40, 50 lat się rozwijają, nie może powodować sytuacji, w której przyjdzie jakaś jedna osoba i powie, a, te wszystkie lata rozwoju nie mają znaczenia.
3370:  KMM - Ja uważam, że teraz zmieniamy politykę i jest tak.
3372:  KMM - To jest lenistwo.
3374:  KK - Ja wiem, że ty wnikasz w te światy na wiele godzin, a gdybyś miał tak się przenieść realnie do takiego świata na 24 godziny... Tylko?
3388:  KMM - Który świat byś wybrał?
3390:  KMM - Na pewno nie świat Warhammera, bo tam bym zginął.
3393:  KMM - W świecie Warhammera 40 tysięcy, szansa na to, że się zginie jest bardzo wysoka, biorąc pod uwagę to, że to jest świat, w którym jednego dnia powstaje kilka planet i równocześnie kilka planet zostaje zniszczonych.
3405:  KMM - Więc przerażająca to jest rzeczywistość.
3407:  KMM - Natomiast wydaje mi się, że chyba w największym stopniu do takiego, w którym byłaby magia, nie?
3413:  KMM - Myślę sobie o świecie Kronik Królobójcy, Patrika Rothfusa, świecie chociażby tolkienowskim, chociaż może w mniejszym stopniu, bo tam akurat udział magii jest niewielki.
3423:  KMM - Ale tak, na pewno taki, w którym byłby interesujący system magiczny i w którym mógłbym się tej rzeczy, magii nauczyć.
3428:  KMM - Bo to jest ta jedna rzecz, na której mi bardzo, faktycznie, brakuje w naszej rzeczywistości.
3432:  KMM - Zauważcie, że zupełnie poważnie mówiąc, tak, bo zauważcie, że nasza rzeczywistość jest jednak
3437:  KMM - przez postępującą sekularyzację i tak dalej, ona jest pozbawiona tego aspektu mistycznego, a my przez wszystkie lata istnienia ludzkiej cywilizacji gdzieś tam element ten spirytualny, duchowy, mistyczny mieliśmy w tej czy innej postaci.
3452:  KMM - Zawsze...
3453:  KMM - Zawsze do tego dążyliśmy jakoś.
3455:  KMM - I trochę tego brakuje.
3456:  KMM - Myślę, że to nie jest takie bez znaczenia, że akurat dziś mamy taką niesamowitą eksplozję różnego autoramentu opowieści fantastycznej, bo też nie jest rzeczą przypadku, że jakieś 90%, lekko licząc, gier wideo jest jednak osadzonych w światach wyobrażonych.
3471:  KMM - To nie jest rzeczą przypadku, że mieliśmy duże uniwersa filmowe typu Marvel Cinematic Universe i jakby my przeszliśmy do porządku dziennego nad tym, że ludzie już nie mówią, że to jest
3480:  KMM - seria albo seria albo saga, tylko że to jest uniwersum.
3483:  KMM - Zaakceptowaliśmy to nagle, że to się dzieje.
3485:  KMM - To nie jest bez znaczenia, wydaje mi się, więc myślę, że po prostu brakuje nam w tym naszym kociokwiku i kołowrotku codziennych spraw takiego oddechu i ujścia w sferę, która jest może właśnie nieistniejąca nadprzyrodzona, nadnaturalna, ale w pewien przewrotny sposób prosta, gdzie dobro jest dobrem, a zło jest złem, nie?
3508:  KK - Gdybyśmy osobom słuchającym, oglądającym nas, mieli zarekomendować takie trzy kroki na wejście w ten świat, czy świat otwórstwa, czy tworzenia gier, co byś polecił?
3522:  KMM - Mam wrażenie, że jeżeli ktoś by chciał od strony literackiej na przykład, to najprostsze wydaje mi się, to niedoceniane jest dobranie sobie dobrej muzyki do czytania książki.
3532:  KMM - Bardzo niedoceniane.
3533:  KMM - Ja to robię od lat praktycznie.
3534:  KMM - Archiwum Bożowego Świata czytałem przy utworze Niol Jeremiego Sola na przykład, Zapędlonym.
3539:  KMM - To właśnie po to, żeby wejść w ten trudny dla nas dzisiaj w przebodźcowanych czasach moment koncentracji głębokiej i zanurzenia.
3548:  KMM - Więc to bardzo sprzyjało.
3550:  KMM - Jeżeli chcemy iść do kina na przykład, no to też polecam oddać się temu w całości.
3556:  KMM - Nie zadbać o to, żeby nie było różnego rodzaju dystrakcji, które sprawiają, że jesteśmy jeszcze bardziej przebodźcowani.
3562:  KMM - To jest te słynne nasze wymymowanie telefonu itd., itd.,
3566:  KMM - Jeżeli chodzi natomiast o taką stronę praktyczną, jakby ktoś się chciał zająć światotwórstwem, to są trzy metody, które polecam.
3571:  KMM - Jedna to jest metoda hasła słownikowego.
3574:  KMM - Zaczynasz od słowa i próbujesz je zdefiniować.
3577:  KMM - Mamy słowo miecz świetny i mówimy, że mieczami świetnymi posługują się rycerze Jedi, którzy mają świątynię na Kurusant.
3583:  KMM - No i mamy już trzy rzeczy następne do zdefiniowania.
3585:  KMM - Kurusant, świątynia Jedi i kim są Jedi.
3589:  KMM - Metoda słownikowa, to jest ciekawe, ona nam wytwarza nowe pojęcia, które musimy zdefiniować.
3595:  KMM - Jest trochę odwrotnością metody słownikowej z naszego świata, która mówi, że nie należy definiować ignotum per ignotius, czyli nieznanego bardziej nieznanym.
3602:  KMM - W przypadku metody słownikowej dla świata fantastycznego właśnie to działa.
3606:  KMM - To znaczy trzeba definiować nieznane bardziej nieznanym, bo to stymuluje ciekawość i sprawia, że widzimy, ok, muszę stworzyć następną rzecz.
3612:  KMM - Druga metoda to jest metoda mapy i znowu będzie odwrotność względem map z naszej rzeczywistości, gdzie mapa musi być odwzorowaniem kartograficznym przestrzeni, najczęściej w rzucie dwuwymiarowym, oczywiście tych rzutów mamy N, wszyscy kartografowie, geodeci wiedzą, że wszystkie mapy są niedokładne, więc tam dążymy do dokładności oczywiście, ale musimy się decydować na jakąś perspektywę, na jakiś rzut.
3634:  KMM - Tu znowu jest inaczej, to znaczy my tworzymy mapę i wytwarzamy rzeczywistość, więc ten proces jest odwrotny.
3641:  KMM - I bardzo często może być tak, że jak sobie zaczynamy rysować mapę, to od razu nam przychodzi coś do głowy.
3645:  KMM - Jest taka bardzo prymitywna metoda, ta zjemnie kartograf niepraktyczna, akurat trefowałem wcześniej,
3650:  KMM - To znaczy, że rozsypujemy ryż na kartce papieru i robimy sobie obrys linii brzegowej na podstawie tego.
3656:  KMM - Jeżeli naprawdę nie wiemy, co zrobić.
3658:  KMM - Jest jeszcze trzecia metoda.
3660:  KMM - Trzecia metoda jest najbardziej skomplikowana, powiedzmy.
3663:  KMM - To znaczy, zaczynamy od jakiejś opowieści.
3666:  KMM - Wtedy zastanawiamy się, czy ta opowieść nas zaprowadziła gdzieś, doprowadziła do czegoś, co wymyśliliśmy.
3672:  KMM - I w tej opowieści musi być tajemnica.
3675:  KMM - Więc to jest, ja to nazywam metodą kotwicy tajemnicy.
3678:  KMM - To znaczy musi nas zakotwiczyć w jakimś miejscu, które jest interesujące z jakiejś perspektywy i wokół tego zaczynamy rozbudowywać świat.
3685:  KMM - No taką tajemnicą w świecie podtera jest ta blizna, którą ma Pony.
3689:  KMM - Nie wiadomo dlaczego on ma i dlaczego przeżył.
3691:  KMM - No i wokół tego możemy skonstruować cały świat, ale możemy też mieć, nie wiem,
3696:  KMM - chociażby w Simarillionie, tytułowe Simarille.
3699:  KMM - To jest tajemnica, co się z nimi stało, dlaczego w ogóle doszło do tego wszystkiego, do kradzieży i wokół tego konstruujemy wszystkie opowieści.
3705:  KMM - Więc zawsze taka gdzieś tajemnica, która tkwi, może być takim motorem napędowym, nie tylko w samej fabuły, ale naszego myślenia o świecie.
3713:  KMM - Że wymyśliliśmy jedną rzecz i ona jest na tyle interesująca, że warto wokół niej stworzyć jakąś fikcyjną rzeczywistość.
3718:  KMM - Te trzy metody bym polecał.
3720:  KMM - A jeżeli chodzi jeszcze o odbiór
3722:  KMM - No to zawsze będę powtarzał, że wszystkie media są równowartościowe.
3727:  KMM - Jeżeli ktoś chce anime, super.
3729:  KMM - Jeżeli ktoś chce literaturę, super.
3731:  KMM - Ktoś chce gry, jeszcze lepiej.
3733:  KMM - Natomiast za każdym razem ten nasz odbiór nie powinien być moim zdaniem takim
3739:  KMM - samodyscyplinującym, że och, ja teraz będę przeznaczał czas na coś niesamowicie wartościowego, więc przeczytam albo zagram, albo obejrzę coś, co jest nagradzane wyłącznie.
3748:  KMM - Ja bym podchodził do tego bardzo hedonistycznie, przyjemnościowo.
3750:  KMM - Mamy wystarczająco dużo obowiązków, wystarczająco dużo trosk i zmagań, żeby jeszcze sobie dokładać to w obszarze odpoczynku.
3757:  KMM - Jak odpoczywamy, zdecydujmy się na coś, co rzeczywiście przynosi nas do innej rzeczywistości, daje nam wytchnienie i jest przyjemne w odbiorze.
3763:  KMM - I jak się nudzimy,
3765:  KMM - to po prostu przerwijmy.
3766:  KMM - Jest tak dużo alternatyw, że szkoda tracić czasu na coś, co nas po prostu nie przynosi do innego świata.
3773:  KK - Krzysztofie, bardzo dziękuję Ci za dzisiejszą rozmowę.
3778:  KK - Naszym gościem był Krzysztof Maj.
3780:  KK - Dziękujemy.
3781:  KK - Dzięki serdeczne.
